genome_id	run_accession	sample_accession	study	ST	carbapenemase	family	country	date	fastq_1	fastq_2	fastq_bytes	read_count	paired
8JbGkEtkonwzJzAFhjvvPP	ERR4920543	SAMEA7472509	PRJEB33565	ST442	NDM-1	NDM	NG - Nigeria	2016-05	ftp.sra.ebi.ac.uk/vol1/fastq/ERR492/003/ERR4920543/ERR4920543_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR492/003/ERR4920543/ERR4920543_2.fastq.gz	75721519;86513919	764980	True
8YnVyxHA7nqtqzDfQdJ3mB	ERR5685308	SAMEA8515137	PRJEB39293	ST464	NDM-7	NDM	Nigeria	2016-05-01	ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/008/ERR5685308/ERR5685308_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/008/ERR5685308/ERR5685308_2.fastq.gz	59283412;80613912	744640	True
pnFzwi6DT6U9P7HitW1FMj	ERR2695861	SAMEA4785011	PRJEB27707	ST15	NDM-1	NDM	Nigeria	2017	ftp.sra.ebi.ac.uk/vol1/fastq/ERR269/001/ERR2695861/ERR2695861_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR269/001/ERR2695861/ERR2695861_2.fastq.gz	199969423;199224067	2321308	True
hN9QXqRKzHjwKe8aeifrGQ	ERR2695862	SAMEA4785012	PRJEB27707	ST395	NDM-1	NDM	Nigeria	2017	ftp.sra.ebi.ac.uk/vol1/fastq/ERR269/002/ERR2695862/ERR2695862_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR269/002/ERR2695862/ERR2695862_2.fastq.gz	170108077;168664773	1942212	True
wnY8BLJvKiKJj8EKgNEMqp	ERR10438951	SAMEA111505139	PRJEB56918	ST392	NDM-1	NDM	Nigeria	2020-11-10	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/051/ERR10438951/ERR10438951_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/051/ERR10438951/ERR10438951_2.fastq.gz	60035780;60793601	1291556	True
hv4tdSDtdCJiL7h8Erv8Qw	ERR4920541	SAMEA7472507	PRJEB33565	ST442	NDM-1	NDM	NG - Nigeria	2016-05	ftp.sra.ebi.ac.uk/vol1/fastq/ERR492/001/ERR4920541/ERR4920541_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR492/001/ERR4920541/ERR4920541_2.fastq.gz	86263520;101049648	894486	True
bJZWZD2FSBUWqM6DtiggqM	ERR4920521	SAMEA7472468	PRJEB33565	ST464	NDM-7	NDM	NG - Nigeria	2016-05	ftp.sra.ebi.ac.uk/vol1/fastq/ERR492/001/ERR4920521/ERR4920521_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR492/001/ERR4920521/ERR4920521_2.fastq.gz	46264201;56342761	525796	True
oGSv5BjAnBd2ofvw7ZBZEz	ERR4008032	SAMEA6654232	PRJEB37523	ST17	OXA-181	OXA	Ghana	2017-09-21	ftp.sra.ebi.ac.uk/vol1/fastq/ERR400/002/ERR4008032/ERR4008032_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR400/002/ERR4008032/ERR4008032_2.fastq.gz	109955558;129817498	760697	True
kVaSn9PWDtVoXozYzBTQFk	ERR10438027	SAMEA111504609	PRJEB56918	ST147	NDM-1	NDM	Ghana	2020-03-17	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/027/ERR10438027/ERR10438027_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/027/ERR10438027/ERR10438027_2.fastq.gz	131374601;132381993	2749108	True
bV4RhJMeAGN5HN3w7U73N2	ERR5685298	SAMEA8515127	PRJEB39293	ST244	NDM-1	NDM	Nigeria	2016-05-01	ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/008/ERR5685298/ERR5685298_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/008/ERR5685298/ERR5685298_2.fastq.gz	149848014;175275172	2186444	True
aipP1e8eQesusYkxTMLP3u	ERR4783426	SAMEA6155929	PRJEB29739	ST219	OXA-48	OXA	Nigeria		ftp.sra.ebi.ac.uk/vol1/fastq/ERR478/006/ERR4783426/ERR4783426_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR478/006/ERR4783426/ERR4783426_2.fastq.gz	89657656;91377025	2024634	True
dAkZRDf8BnMSmHg38GM8rm	SRR5513549	SAMN05960921	PRJNA351846	ST1788	OXA-48	OXA	Nigeria	2014-01-22	ftp.sra.ebi.ac.uk/vol1/fastq/SRR551/009/SRR5513549/SRR5513549_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR551/009/SRR5513549/SRR5513549_2.fastq.gz	220324486;226153710	2345502	True
jBBWXA8udJH12wFK6SRUnY	ERR13492068	SAMEA115925719	PRJEB78995	ST234	OXA-181	OXA	SN	2020-08-30	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/068/ERR13492068/ERR13492068_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/068/ERR13492068/ERR13492068_2.fastq.gz	367504415;375792589	8339452	True
85vFfmMxAWjqo18pNuvhoz	ERR2695863	SAMEA4785013	PRJEB27707	ST395	NDM-1	NDM	Nigeria	2017	ftp.sra.ebi.ac.uk/vol1/fastq/ERR269/003/ERR2695863/ERR2695863_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR269/003/ERR2695863/ERR2695863_2.fastq.gz	227324192;225124681	2637599	True
jKvEssiC3yAVNGhJtayyUD	ERR4008020	SAMEA6654220	PRJEB37523	ST17	OXA-181	OXA	Ghana	2017-09-21	ftp.sra.ebi.ac.uk/vol1/fastq/ERR400/000/ERR4008020/ERR4008020_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR400/000/ERR4008020/ERR4008020_2.fastq.gz	117358332;132498626	722139	True
m2GtyCCQgQRVk91EqqtwyE	ERR2695857	SAMEA4785007	PRJEB27707	ST340	NDM-1	NDM	Nigeria	2017	ftp.sra.ebi.ac.uk/vol1/fastq/ERR269/007/ERR2695857/ERR2695857_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR269/007/ERR2695857/ERR2695857_2.fastq.gz	215362725;214743326	2485138	True
hoocsxPfXfnsg2XLutMNAK	ERR4920493	SAMEA7472365	PRJEB33565	ST4410	NDM-1	NDM	NG - Nigeria	2016-05	ftp.sra.ebi.ac.uk/vol1/fastq/ERR492/003/ERR4920493/ERR4920493_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR492/003/ERR4920493/ERR4920493_2.fastq.gz	103611795;120530757	1051690	True
9z1oeZUBBJAF8C3UyBvx4E	ERR8024960	SAMEA12311723	PRJEB46496	ST152	NDM-1;OXA-48	NDM+OXA	Ghana	2021-01-01	ftp.sra.ebi.ac.uk/vol1/fastq/ERR802/000/ERR8024960/ERR8024960_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR802/000/ERR8024960/ERR8024960_2.fastq.gz	74294787;86052473	1222546	True
wGwgZmQ8x9oZcrAjjxfoDy	ERR4008024	SAMEA6654224	PRJEB37523	ST17	OXA-181	OXA	Ghana	2019-03-19	ftp.sra.ebi.ac.uk/vol1/fastq/ERR400/004/ERR4008024/ERR4008024_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR400/004/ERR4008024/ERR4008024_2.fastq.gz	156453817;178629070	1061700	True
97yZNNPPKmYM3JYMqwuMJk	ERR13492053	SAMEA115925704	PRJEB78995	ST307	OXA-48	OXA	SN	2018-08-30	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/053/ERR13492053/ERR13492053_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/053/ERR13492053/ERR13492053_2.fastq.gz	242149324;246150838	5779494	True
6MHXM1WJLUdmMekDndtf9o	ERR13492064	SAMEA115925715	PRJEB78995	ST234	OXA-181	OXA	SN	2020-08-30	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/064/ERR13492064/ERR13492064_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/064/ERR13492064/ERR13492064_2.fastq.gz	200943437;205107760	4491682	True
7p9Cky8RYKxpUFo3fVUd3B	ERR2695859	SAMEA4785009	PRJEB27707	ST395	NDM-1	NDM	Nigeria	2017	ftp.sra.ebi.ac.uk/vol1/fastq/ERR269/009/ERR2695859/ERR2695859_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR269/009/ERR2695859/ERR2695859_2.fastq.gz	255056139;252036241	3017646	True
eHV5akLFSxPCw6DHExHqfW	ERR4920531	SAMEA7472489	PRJEB33565	ST464	NDM-7	NDM	NG - Nigeria	2016-05	ftp.sra.ebi.ac.uk/vol1/fastq/ERR492/001/ERR4920531/ERR4920531_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR492/001/ERR4920531/ERR4920531_2.fastq.gz	112648273;132068865	1158218	True
7LgrgfhCCcAtm1zUX8QJRr	ERR4783565	SAMEA6422746	PRJEB29739	ST147	NDM-1	NDM	Nigeria		ftp.sra.ebi.ac.uk/vol1/fastq/ERR478/005/ERR4783565/ERR4783565_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR478/005/ERR4783565/ERR4783565_2.fastq.gz	64634218;63631509	2111950	True
35HdoqhevFZ7ogKPvWK6MG	ERR4008044	SAMEA6654244	PRJEB37523	ST17	OXA-181	OXA	Ghana	2018-01-19	ftp.sra.ebi.ac.uk/vol1/fastq/ERR400/004/ERR4008044/ERR4008044_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR400/004/ERR4008044/ERR4008044_2.fastq.gz	144453199;164814179	982201	True
r8kPKmfLUtjTQHXvob6CDa	ERR5685309	SAMEA8515138	PRJEB39293	ST20	NDM-1	NDM	Nigeria	2016-05-01	ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/009/ERR5685309/ERR5685309_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/009/ERR5685309/ERR5685309_2.fastq.gz	102948679;157840848	1734572	True
qCbmDssgHLcBae438R5Dyc	ERR2695866	SAMEA4785016	PRJEB27707	ST395	NDM-1	NDM	Nigeria	2018	ftp.sra.ebi.ac.uk/vol1/fastq/ERR269/006/ERR2695866/ERR2695866_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR269/006/ERR2695866/ERR2695866_2.fastq.gz	160246984;158779510	1892077	True
axVxmWyZzm8aS1bKjVkAnL	ERR4783290	SAMEA6155808	PRJEB29739	ST716	NDM-1	NDM	Nigeria		ftp.sra.ebi.ac.uk/vol1/fastq/ERR478/000/ERR4783290/ERR4783290_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR478/000/ERR4783290/ERR4783290_2.fastq.gz	71525097;74490436	2222320	True
aeouxh2g1Te9sjQB2ycPTG	ERR2695864	SAMEA4785014	PRJEB27707	ST395	NDM-1	NDM	Nigeria	2018	ftp.sra.ebi.ac.uk/vol1/fastq/ERR269/004/ERR2695864/ERR2695864_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR269/004/ERR2695864/ERR2695864_2.fastq.gz	220833549;219596214	2590465	True
uEJwJQyMJ2QWaL2CKEdcYW	ERR4920534	SAMEA7472492	PRJEB33565	ST442	NDM-1	NDM	NG - Nigeria	2016-05	ftp.sra.ebi.ac.uk/vol1/fastq/ERR492/004/ERR4920534/ERR4920534_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR492/004/ERR4920534/ERR4920534_2.fastq.gz	106559879;126521262	1096202	True
tJvLJNL45xQFCnezmWwrq9	ERR4008028	SAMEA6654228	PRJEB37523	ST17	OXA-181	OXA	Ghana	2019-02-06	ftp.sra.ebi.ac.uk/vol1/fastq/ERR400/008/ERR4008028/ERR4008028_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR400/008/ERR4008028/ERR4008028_2.fastq.gz	100952957;112224610	582358	True
1eAFffAm8xJ8pXbru3vQpd	ERR4008043	SAMEA6654243	PRJEB37523	ST17	OXA-181	OXA	Ghana	2018-01-19	ftp.sra.ebi.ac.uk/vol1/fastq/ERR400/003/ERR4008043/ERR4008043_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR400/003/ERR4008043/ERR4008043_2.fastq.gz	140431148;168365391	975198	True
cGZBRpV9knuSfH1frNBE59	ERR4008035	SAMEA6654235	PRJEB37523	ST17	OXA-181	OXA	Ghana	2017-09-21	ftp.sra.ebi.ac.uk/vol1/fastq/ERR400/005/ERR4008035/ERR4008035_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR400/005/ERR4008035/ERR4008035_2.fastq.gz	91546629;103167879	619995	True
hngZ5fvGRzhg2ho5dAJvLB	ERR4008029	SAMEA6654229	PRJEB37523	ST17	OXA-181	OXA	Ghana	2017-09-21	ftp.sra.ebi.ac.uk/vol1/fastq/ERR400/009/ERR4008029/ERR4008029_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR400/009/ERR4008029/ERR4008029_2.fastq.gz	180421685;197870706	1312323	True
mDqJJTmFgkFCPtdJsmaa9f	ERR4783403	SAMEA6156101	PRJEB29739	ST392	NDM-1	NDM	Nigeria		ftp.sra.ebi.ac.uk/vol1/fastq/ERR478/003/ERR4783403/ERR4783403_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR478/003/ERR4783403/ERR4783403_2.fastq.gz	94624606;96787794	2111342	True
9cPaMjZBTZ8UuXxqxw8RB6	ERR4783520	SAMEA6422782	PRJEB29739	ST5245	NDM-1	NDM	Nigeria		ftp.sra.ebi.ac.uk/vol1/fastq/ERR478/000/ERR4783520/ERR4783520_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR478/000/ERR4783520/ERR4783520_2.fastq.gz	120134472;118294617	2696410	True
bAvZYPTTZB28fNDnWSoNzb	ERR4008033	SAMEA6654233	PRJEB37523	ST17	OXA-181	OXA	Ghana	2017-09-21	ftp.sra.ebi.ac.uk/vol1/fastq/ERR400/003/ERR4008033/ERR4008033_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR400/003/ERR4008033/ERR4008033_2.fastq.gz	107944973;124759856	738243	True
44GGVE1Y8qV6RnvZ2QmjzV	ERR4920526	SAMEA7472474	PRJEB33565	ST464-1LV	NDM-7	NDM	NG - Nigeria	2016-05	ftp.sra.ebi.ac.uk/vol1/fastq/ERR492/006/ERR4920526/ERR4920526_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR492/006/ERR4920526/ERR4920526_2.fastq.gz	21274928;25828325	249524	True
3FuWbd6iGPmGnVZZcGZyfs	ERR10438031	SAMEA111504613	PRJEB56918	ST147	NDM-1	NDM	Ghana	2020-03-31	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/031/ERR10438031/ERR10438031_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/031/ERR10438031/ERR10438031_2.fastq.gz	125620977;127888774	2712132	True
7uKY2qaZYWVBwzpDeBiFfs	ERR2695853	SAMEA4785004	PRJEB27707	ST4	NDM-1	NDM	Nigeria	2016	ftp.sra.ebi.ac.uk/vol1/fastq/ERR269/003/ERR2695853/ERR2695853_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR269/003/ERR2695853/ERR2695853_2.fastq.gz	274284311;271500346	3224998	True
8PBMxwG1U2WaAyyVedcK11	ERR4180935	SAMEA6863335	PRJEB38442	ST540	NDM-1	NDM	Ghana	2017-09-08	ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/005/ERR4180935/ERR4180935_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/005/ERR4180935/ERR4180935_2.fastq.gz	75921667;91186287	430964	True
o7ZNphmQDDp6U23oNmT1F6	ERR5685314	SAMEA8515143	PRJEB39293	ST464	NDM-7	NDM	Nigeria	2016-05-01	ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/004/ERR5685314/ERR5685314_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/004/ERR5685314/ERR5685314_2.fastq.gz	85818417;107899135	1017870	True
sjbJuWVDRiDDqNnEJyPAkY	ERR4008047	SAMEA6654247	PRJEB37523	ST17	OXA-181	OXA	Ghana	2017-09-21	ftp.sra.ebi.ac.uk/vol1/fastq/ERR400/007/ERR4008047/ERR4008047_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR400/007/ERR4008047/ERR4008047_2.fastq.gz	146597110;178879209	980113	True
c4GTL4K9vYXFBPKGyxKQ4X	ERR4920513	SAMEA7472440	PRJEB33565	ST20	NDM-1	NDM	NG - Nigeria	2016-05	ftp.sra.ebi.ac.uk/vol1/fastq/ERR492/003/ERR4920513/ERR4920513_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR492/003/ERR4920513/ERR4920513_2.fastq.gz	93960550;112427520	1022414	True
tz3KKQTzSeRctTL127zPKF	ERR4008023	SAMEA6654223	PRJEB37523	ST17	OXA-181	OXA	Ghana	2018-01-05	ftp.sra.ebi.ac.uk/vol1/fastq/ERR400/003/ERR4008023/ERR4008023_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR400/003/ERR4008023/ERR4008023_2.fastq.gz	169070533;187383576	1125573	True
82eR6GZey3tNBaqHGtxGzw	ERR4008038	SAMEA6654238	PRJEB37523	ST17	OXA-181	OXA	Ghana	2017-09-21	ftp.sra.ebi.ac.uk/vol1/fastq/ERR400/008/ERR4008038/ERR4008038_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR400/008/ERR4008038/ERR4008038_2.fastq.gz	89404020;103230604	661622	True
tG6acDHGobY51suiQSFBKX	ERR4008036	SAMEA6654236	PRJEB37523	ST17	OXA-181	OXA	Ghana	2017-09-21	ftp.sra.ebi.ac.uk/vol1/fastq/ERR400/006/ERR4008036/ERR4008036_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR400/006/ERR4008036/ERR4008036_2.fastq.gz	79603769;91783550	565982	True
mZ82Nevx73s1WDbcNDRULC	ERR2695860	SAMEA4785010	PRJEB27707	ST147	NDM-1	NDM	Nigeria	2017	ftp.sra.ebi.ac.uk/vol1/fastq/ERR269/000/ERR2695860/ERR2695860_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR269/000/ERR2695860/ERR2695860_2.fastq.gz	215271159;214636178	2500119	True
k9JCAPMxurzSKXmtzZYL5T	ERR4008025	SAMEA6654225	PRJEB37523	ST17	OXA-181	OXA	Ghana	2018-11-24	ftp.sra.ebi.ac.uk/vol1/fastq/ERR400/005/ERR4008025/ERR4008025_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR400/005/ERR4008025/ERR4008025_2.fastq.gz	126895561;139904307	744282	True
xpuYKKN33xUwEFEHcYNxrv	ERR4920523	SAMEA7472471	PRJEB33565	ST4410	NDM-1	NDM	NG - Nigeria	2016-05	ftp.sra.ebi.ac.uk/vol1/fastq/ERR492/003/ERR4920523/ERR4920523_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR492/003/ERR4920523/ERR4920523_2.fastq.gz	130252296;155596463	1538710	True
gWctNQwWhVx3SHvoycbz5o	ERR4008041	SAMEA6654241	PRJEB37523	ST17	OXA-181	OXA	Ghana	2017-09-21	ftp.sra.ebi.ac.uk/vol1/fastq/ERR400/001/ERR4008041/ERR4008041_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR400/001/ERR4008041/ERR4008041_2.fastq.gz	108915545;130585516	763767	True
vPnNvNW6p1ALprg57MTF4k	ERR4008030	SAMEA6654230	PRJEB37523	ST17	OXA-181	OXA	Ghana	2017-09-21	ftp.sra.ebi.ac.uk/vol1/fastq/ERR400/000/ERR4008030/ERR4008030_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR400/000/ERR4008030/ERR4008030_2.fastq.gz	145487426;161255965	1065476	True
ep4NAxRxYEM4xd8FEHYC6d	ERR4008039	SAMEA6654239	PRJEB37523	ST17	OXA-181	OXA	Ghana	2017-09-21	ftp.sra.ebi.ac.uk/vol1/fastq/ERR400/009/ERR4008039/ERR4008039_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR400/009/ERR4008039/ERR4008039_2.fastq.gz	76760694;86125520	532921	True
65GXWu7971WMZfcK6f2yRL	ERR4008021	SAMEA6654221	PRJEB37523	ST17	OXA-181	OXA	Ghana	2017-10-05	ftp.sra.ebi.ac.uk/vol1/fastq/ERR400/001/ERR4008021/ERR4008021_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR400/001/ERR4008021/ERR4008021_2.fastq.gz	141252333;160585294	964601	True
1X3RHR1R9T3bHHmdytUUzm	ERR2695856	SAMEA4785006	PRJEB27707	ST15	NDM-1	NDM	Nigeria	2017-01-01	ftp.sra.ebi.ac.uk/vol1/fastq/ERR269/006/ERR2695856/ERR2695856_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR269/006/ERR2695856/ERR2695856_2.fastq.gz	458165583;529082981	3122664	True
saQY2KcQvxx3dmBCmfJKbA	ERR4783022	SAMEA6155911	PRJEB29739	ST340	OXA-181	OXA	Nigeria	2016-12-13	ftp.sra.ebi.ac.uk/vol1/fastq/ERR478/002/ERR4783022/ERR4783022_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR478/002/ERR4783022/ERR4783022_2.fastq.gz	68427003;71703809	2203668	True
6mvRGZipdvWcmDtzSe6mMc	ERR2695868	SAMEA4785018	PRJEB27707	ST147	NDM-1	NDM	Nigeria	2018	ftp.sra.ebi.ac.uk/vol1/fastq/ERR269/008/ERR2695868/ERR2695868_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR269/008/ERR2695868/ERR2695868_2.fastq.gz	162167544;160085886	1899187	True
vkdwdm7JH34D88Q6BcT7eq	ERR5685320	SAMEA8515150	PRJEB39293	ST464	NDM-7	NDM	Nigeria	2016-05-01	ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/000/ERR5685320/ERR5685320_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/000/ERR5685320/ERR5685320_2.fastq.gz	141969633;165605862	1991276	True
p3uE7VsE14c6D5LHnqXS1M	ERR4920533	SAMEA7472491	PRJEB33565	ST442	NDM-1	NDM	NG - Nigeria	2016-05	ftp.sra.ebi.ac.uk/vol1/fastq/ERR492/003/ERR4920533/ERR4920533_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR492/003/ERR4920533/ERR4920533_2.fastq.gz	73162255;84537492	682022	True
fqWJ9K2QRMJH8qE2eUujtf	ERR4920510	SAMEA7472434	PRJEB33565	ST464	NDM-7	NDM	NG - Nigeria	2016-05	ftp.sra.ebi.ac.uk/vol1/fastq/ERR492/000/ERR4920510/ERR4920510_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR492/000/ERR4920510/ERR4920510_2.fastq.gz	63664759;76083431	686942	True
gfuP6GHjDZQ8BgLZEcDuXt	ERR4008022	SAMEA6654222	PRJEB37523	ST17	OXA-181	OXA	Ghana	2018-01-05	ftp.sra.ebi.ac.uk/vol1/fastq/ERR400/002/ERR4008022/ERR4008022_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR400/002/ERR4008022/ERR4008022_2.fastq.gz	122970771;141269041	829523	True
