sample_id,amrfinder_gene_count,amrfinder_genes,amrfinder_classes,rgi_gene_count,rgi_genes,rgi_drug_classes,plasmidfinder_replicons,mob_recon_plasmid_contigs,mob_recon_predicted_mobility
ghana_GCA_022968735.1,15,aac(3)-IIe;aac(6')-Ib-cr5;aph(3'')-Ib;aph(6)-Id;blaCTX-M-15;blaOXA-1;blaSHV-11;blaTEM-1;catB3;dfrA14;fosA;oqxA;oqxB32;qnrB1;sul2,AMINOGLYCOSIDE;AMINOGLYCOSIDE/QUINOLONE;BETA-LACTAM;FOSFOMYCIN;NITROFURAN/PHENICOL/QUINOLONE/TETRACYCLINE;PHENICOL;PHENICOL/QUINOLONE;QUINOLONE;SULFONAMIDE;TRIMETHOPRIM,43,AAC(3)-IIe;AAC(6')-Ib10;APH(3'')-Ib;APH(6)-Id;ArnT;CRP;CTX-M-15;Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline;Escherichia coli UhpT with mutation conferring resistance to fosfomycin;Escherichia coli mdfA;FosA6;Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics;Klebsiella pneumoniae KpnE;Klebsiella pneumoniae KpnF;Klebsiella pneumoniae KpnG;Klebsiella pneumoniae KpnH;Klebsiella pneumoniae OmpK37;LptD;MdtQ;OXA-1;OmpA;PmrF;QnrB1;SHV-11;Shigella flexneri acrA;TEM-1;acrB;acrD;adeF;baeR;dfrA14;emrR;eptB;leuO;marA;mdtB;mdtC;msbA;oqxA;oqxB;rsmA;sul2;vanG,aminocoumarin antibiotic;aminoglycoside antibiotic;carbapenem;cephalosporin;diaminopyrimidine antibiotic;disinfecting agents and antiseptics;fluoroquinolone antibiotic;glycopeptide antibiotic;glycylcycline;macrolide antibiotic;monobactam;nitrofuran antibiotic;nitroimidazole antibiotic;nucleoside antibiotic;penicillin beta-lactam;peptide antibiotic;phenicol antibiotic;phosphonic acid antibiotic;rifamycin antibiotic;sulfonamide antibiotic;tetracycline antibiotic,Col440I;IncFIB(K);IncFII(K),25,-
ghana_GCA_022968745.1,26,aac(3)-IIe;aac(6')-Ib-cr5;aadA1;aadA2;aph(3'')-Ib;aph(6)-Id;blaCTX-M-15;blaOXA-1;blaSHV;blaTEM;catA2;catB3;dfrA12;dfrA15;fosA;mph(A);mrx(A);oqxA;oqxB;qacEdelta1;qnrB2;qnrS1;sul1;sul2;tet(A);tet(D),AMINOGLYCOSIDE;AMINOGLYCOSIDE/QUINOLONE;BETA-LACTAM;FOSFOMYCIN;MACROLIDE;NITROFURAN/PHENICOL/QUINOLONE/TETRACYCLINE;PHENICOL;QUATERNARY AMMONIUM;QUINOLONE;SULFONAMIDE;TETRACYCLINE;TRIMETHOPRIM,31,AAC(3)-IIe;AAC(6')-Ib10;APH(3'')-Ib;APH(6)-Id;CRP;CTX-M-15;Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline;Klebsiella pneumoniae KpnE;Klebsiella pneumoniae KpnF;Klebsiella pneumoniae KpnG;Mrx;OXA-1;OmpA;QnrB20;QnrS1;aadA;aadA2;adeF;catII from Escherichia coli K-12;dfrA12;dfrA15;emrR;fosA5;marA;mdtB;mphA;qacEdelta1;rsmA;sul2;tet(A);tet(D),aminocoumarin antibiotic;aminoglycoside antibiotic;carbapenem;cephalosporin;diaminopyrimidine antibiotic;disinfecting agents and antiseptics;fluoroquinolone antibiotic;glycylcycline;macrolide antibiotic;monobactam;penicillin beta-lactam;peptide antibiotic;phenicol antibiotic;phosphonic acid antibiotic;rifamycin antibiotic;sulfonamide antibiotic;tetracycline antibiotic,Col440I;IncFIB(K);IncHI1B;IncR,69,-
ghana_GCA_025660315.1,12,aac(6')-Ib-cr5;blaCTX-M-15;blaOXA-1;blaSHV-28;blaTEM-1;catB3;dfrA14;fosA;gyrA_S83I;oqxA;oqxB19;qnrB1,AMINOGLYCOSIDE/QUINOLONE;BETA-LACTAM;FOSFOMYCIN;NITROFURAN/PHENICOL/QUINOLONE/TETRACYCLINE;PHENICOL;PHENICOL/QUINOLONE;QUINOLONE;TRIMETHOPRIM,49,"AAC(6')-Ib10;CTX-M-15;Escherichia coli AcrAB-TolC with AcrR mutation conferring resistance to ciprofloxacin, tetracycline, and ceftazidime;Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline;Escherichia coli acrA;Escherichia coli emrE;Escherichia coli gyrA conferring resistance to fluoroquinolones;FosA6;H-NS;Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics;Klebsiella pneumoniae KpnE;Klebsiella pneumoniae KpnF;Klebsiella pneumoniae KpnG;Klebsiella pneumoniae KpnH;Klebsiella pneumoniae OmpK37;LptD;MdtQ;OXA-1;QnrB1;SHV-28;TEM-1;acrB;acrD;baeR;dfrA14;emrA;emrB;emrR;eptB;gadW;gadX;kdpE;leuO;marA;mdtA;mdtB;mdtC;mdtE;mdtF;mdtG;mdtH;oqxA;oqxB;rsmA;vanG",aminocoumarin antibiotic;aminoglycoside antibiotic;carbapenem;cephalosporin;diaminopyrimidine antibiotic;disinfecting agents and antiseptics;fluoroquinolone antibiotic;glycopeptide antibiotic;glycylcycline;macrolide antibiotic;monobactam;nitrofuran antibiotic;nucleoside antibiotic;penicillin beta-lactam;peptide antibiotic;phenicol antibiotic;phosphonic acid antibiotic;rifamycin antibiotic;tetracycline antibiotic,Col440I;IncFIA;IncFIA(HI1);IncFIB(AP001918);IncFIB(K);IncFII;IncFII(K);IncN,50,-
ghana_GCF_022968005.1,5,blaOXA-926;blaSHV-41;fosA;oqxA;oqxB19,BETA-LACTAM;FOSFOMYCIN;NITROFURAN/PHENICOL/QUINOLONE/TETRACYCLINE;PHENICOL/QUINOLONE,34,ArnT;CRP;Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline;Escherichia coli UhpT with mutation conferring resistance to fosfomycin;Escherichia coli mdfA;Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics;Klebsiella pneumoniae KpnE;Klebsiella pneumoniae KpnF;Klebsiella pneumoniae KpnG;Klebsiella pneumoniae KpnH;Klebsiella pneumoniae OmpK37;LptD;MdtQ;OXA-926;OmpA;PmrF;SHV-41;Shigella flexneri acrA;acrB;acrD;adeF;baeR;emrR;eptB;fosA5;leuO;marA;mdtB;mdtC;msbA;oqxA;oqxB;rsmA;vanG,aminocoumarin antibiotic;aminoglycoside antibiotic;carbapenem;cephalosporin;diaminopyrimidine antibiotic;disinfecting agents and antiseptics;fluoroquinolone antibiotic;glycopeptide antibiotic;glycylcycline;macrolide antibiotic;monobactam;nitrofuran antibiotic;nitroimidazole antibiotic;nucleoside antibiotic;penicillin beta-lactam;peptide antibiotic;phenicol antibiotic;phosphonic acid antibiotic;rifamycin antibiotic;tetracycline antibiotic,IncFIA(HI1);IncFIB(K);IncFII,10,-
ghana_GCF_022968085.1,18,aac(3)-IIe;aac(6')-Ib-cr5;aadA1;blaCTX-M-15;blaOXA-1;blaSHV-38;catB3;dfrA15;fosA;gyrA_D87A;gyrA_S83Y;oqxA;oqxB;parC_S80I;qacE;qnrB19;qnrB2;sul1,AMINOGLYCOSIDE;AMINOGLYCOSIDE/QUINOLONE;BETA-LACTAM;FOSFOMYCIN;NITROFURAN/PHENICOL/QUINOLONE/TETRACYCLINE;PHENICOL;QUATERNARY AMMONIUM;QUINOLONE;SULFONAMIDE;TRIMETHOPRIM,42,AAC(3)-IIe;AAC(6')-Ib10;ArnT;CRP;CTX-M-15;Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline;Escherichia coli UhpT with mutation conferring resistance to fosfomycin;Escherichia coli mdfA;Escherichia coli parC conferring resistance to fluoroquinolones;FosA6;Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics;Klebsiella pneumoniae KpnE;Klebsiella pneumoniae KpnF;Klebsiella pneumoniae KpnG;Klebsiella pneumoniae KpnH;Klebsiella pneumoniae OmpK37;LptD;MdtQ;OXA-1;OmpA;PmrF;QnrB19;QnrB20;SHV-38;Shigella flexneri acrA;aadA;acrB;acrD;adeF;baeR;dfrA15;emrR;eptB;leuO;marA;mdtB;mdtC;msbA;oqxA;oqxB;rsmA;vanG,aminocoumarin antibiotic;aminoglycoside antibiotic;carbapenem;cephalosporin;diaminopyrimidine antibiotic;disinfecting agents and antiseptics;fluoroquinolone antibiotic;glycopeptide antibiotic;glycylcycline;macrolide antibiotic;monobactam;nitrofuran antibiotic;nitroimidazole antibiotic;nucleoside antibiotic;penicillin beta-lactam;peptide antibiotic;phenicol antibiotic;phosphonic acid antibiotic;rifamycin antibiotic;tetracycline antibiotic,Col440I;IncFIB(K);IncHI1B,13,-
ghana_GCF_022968155.1,15,aac(3)-IIe;aac(6')-Ib-cr5;aph(3'')-Ib;aph(6)-Id;blaCTX-M-15;blaOXA-1;blaSHV-11;blaTEM-1;catB3;dfrA14;fosA;oqxA;oqxB32;qnrB1;sul2,AMINOGLYCOSIDE;AMINOGLYCOSIDE/QUINOLONE;BETA-LACTAM;FOSFOMYCIN;NITROFURAN/PHENICOL/QUINOLONE/TETRACYCLINE;PHENICOL;PHENICOL/QUINOLONE;QUINOLONE;SULFONAMIDE;TRIMETHOPRIM,43,AAC(3)-IIe;AAC(6')-Ib10;APH(3'')-Ib;APH(6)-Id;ArnT;CRP;CTX-M-15;Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline;Escherichia coli UhpT with mutation conferring resistance to fosfomycin;Escherichia coli mdfA;FosA6;Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics;Klebsiella pneumoniae KpnE;Klebsiella pneumoniae KpnF;Klebsiella pneumoniae KpnG;Klebsiella pneumoniae KpnH;Klebsiella pneumoniae OmpK37;LptD;MdtQ;OXA-1;OmpA;PmrF;QnrB1;SHV-11;Shigella flexneri acrA;TEM-1;acrB;acrD;adeF;baeR;dfrA14;emrR;eptB;leuO;marA;mdtB;mdtC;msbA;oqxA;oqxB;rsmA;sul2;vanG,aminocoumarin antibiotic;aminoglycoside antibiotic;carbapenem;cephalosporin;diaminopyrimidine antibiotic;disinfecting agents and antiseptics;fluoroquinolone antibiotic;glycopeptide antibiotic;glycylcycline;macrolide antibiotic;monobactam;nitrofuran antibiotic;nitroimidazole antibiotic;nucleoside antibiotic;penicillin beta-lactam;peptide antibiotic;phenicol antibiotic;phosphonic acid antibiotic;rifamycin antibiotic;sulfonamide antibiotic;tetracycline antibiotic,Col440I;IncFIB(K);IncFII(K),27,-
ghana_GCF_022968255.1,20,aac(3)-IIe;aac(6')-Ib-cr5;aadA1;aph(3'')-Ib;aph(6)-Id;blaCTX-M-15;blaOXA-1;blaSCO-1;blaSHV-11;blaTEM-1;catA1;catB3;dfrA15;fosA;oqxA;oqxB;qacEdelta1;sul1;sul2;tet(D),AMINOGLYCOSIDE;AMINOGLYCOSIDE/QUINOLONE;BETA-LACTAM;FOSFOMYCIN;NITROFURAN/PHENICOL/QUINOLONE/TETRACYCLINE;PHENICOL;QUATERNARY AMMONIUM;SULFONAMIDE;TETRACYCLINE;TRIMETHOPRIM,47,AAC(3)-IIc;AAC(6')-Ib10;APH(6)-Id;ArnT;CRP;CTX-M-15;CrcB;Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline;Escherichia coli UhpT with mutation conferring resistance to fosfomycin;Escherichia coli mdfA;FosA6;Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics;Klebsiella pneumoniae KpnE;Klebsiella pneumoniae KpnF;Klebsiella pneumoniae KpnG;Klebsiella pneumoniae KpnH;Klebsiella pneumoniae OmpK37;LptD;MdtQ;OXA-1;OmpA;PmrF;SCO-1;SHV-11;Shigella flexneri acrA;TEM-1;aadA;acrB;acrD;baeR;catA1;dfrA15;emrR;eptB;leuO;marA;mdtB;mdtC;msbA;oqxA;oqxB;qacEdelta1;rsmA;sul1;sul2;tet(D);vanG,aminocoumarin antibiotic;aminoglycoside antibiotic;carbapenem;cephalosporin;diaminopyrimidine antibiotic;disinfecting agents and antiseptics;fluoroquinolone antibiotic;glycopeptide antibiotic;glycylcycline;macrolide antibiotic;monobactam;nitrofuran antibiotic;nitroimidazole antibiotic;nucleoside antibiotic;penicillin beta-lactam;peptide antibiotic;phenicol antibiotic;phosphonic acid antibiotic;rifamycin antibiotic;sulfonamide antibiotic;tetracycline antibiotic,Col440I;Col440II;IncFIB(K);IncHI1B,30,-
ghana_GCF_022968275.1,16,aac(3)-IIe;aadA1;aph(3'')-Ib;aph(6)-Id;blaCTX-M-15;blaSCO-1;blaSHV-11;blaTEM-1;dfrA15;fosA;oqxA;oqxB;qacEdelta1;qnrS1;sul1;sul2,AMINOGLYCOSIDE;BETA-LACTAM;FOSFOMYCIN;NITROFURAN/PHENICOL/QUINOLONE/TETRACYCLINE;QUATERNARY AMMONIUM;QUINOLONE;SULFONAMIDE;TRIMETHOPRIM,44,AAC(3)-IIe;APH(6)-Id;ArnT;CRP;CTX-M-15;Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline;Escherichia coli UhpT with mutation conferring resistance to fosfomycin;Escherichia coli mdfA;FosA6;Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics;Klebsiella pneumoniae KpnE;Klebsiella pneumoniae KpnF;Klebsiella pneumoniae KpnG;Klebsiella pneumoniae KpnH;Klebsiella pneumoniae OmpK37;LptD;MdtQ;OmpA;PmrF;QnrS1;SCO-1;SHV-11;Shigella flexneri acrA;TEM-1;aadA;acrB;acrD;adeF;baeR;dfrA15;emrR;eptB;leuO;marA;mdtB;mdtC;msbA;oqxA;oqxB;qacEdelta1;rsmA;sul1;sul2;vanG,aminocoumarin antibiotic;aminoglycoside antibiotic;carbapenem;cephalosporin;diaminopyrimidine antibiotic;disinfecting agents and antiseptics;fluoroquinolone antibiotic;glycopeptide antibiotic;glycylcycline;macrolide antibiotic;monobactam;nitrofuran antibiotic;nitroimidazole antibiotic;nucleoside antibiotic;penicillin beta-lactam;peptide antibiotic;phenicol antibiotic;phosphonic acid antibiotic;rifamycin antibiotic;sulfonamide antibiotic;tetracycline antibiotic,IncFIB(K);IncHI1B,29,-
ghana_GCF_022968285.1,4,blaSHV-1;fosA;oqxA;oqxB32,BETA-LACTAM;FOSFOMYCIN;NITROFURAN/PHENICOL/QUINOLONE/TETRACYCLINE;PHENICOL/QUINOLONE,32,ArnT;CRP;Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline;Escherichia coli UhpT with mutation conferring resistance to fosfomycin;Escherichia coli mdfA;Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics;Klebsiella pneumoniae KpnE;Klebsiella pneumoniae KpnF;Klebsiella pneumoniae KpnG;Klebsiella pneumoniae KpnH;Klebsiella pneumoniae OmpK37;LptD;MdtQ;OmpA;PmrF;SHV-1;Shigella flexneri acrA;acrB;acrD;baeR;emrR;eptB;fosA5;leuO;marA;mdtB;mdtC;msbA;oqxA;oqxB;rsmA;vanG,aminocoumarin antibiotic;aminoglycoside antibiotic;carbapenem;cephalosporin;diaminopyrimidine antibiotic;disinfecting agents and antiseptics;fluoroquinolone antibiotic;glycopeptide antibiotic;glycylcycline;macrolide antibiotic;monobactam;nitrofuran antibiotic;nitroimidazole antibiotic;nucleoside antibiotic;penicillin beta-lactam;peptide antibiotic;phenicol antibiotic;phosphonic acid antibiotic;rifamycin antibiotic;tetracycline antibiotic,Col440I;IncFIB(K);IncFIB(Mar);IncHI1B,31,-
ghana_GCF_022968315.1,15,ant(2'')-Ia;aph(3'')-Ib;aph(3')-Ia;aph(6)-Id;blaDHA-1;blaTEM-1;catA1;dfrA7;fosA;oqxA;oqxB32;qnrB4;sul1;sul2;tet(A),AMINOGLYCOSIDE;BETA-LACTAM;FOSFOMYCIN;NITROFURAN/PHENICOL/QUINOLONE/TETRACYCLINE;PHENICOL;PHENICOL/QUINOLONE;QUINOLONE;SULFONAMIDE;TETRACYCLINE;TRIMETHOPRIM,42,ANT(2'')-Ia;APH(3')-Ia;APH(6)-Id;ArnT;CRP;DHA-1;Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline;Escherichia coli UhpT with mutation conferring resistance to fosfomycin;Escherichia coli mdfA;FosA6;Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics;Klebsiella pneumoniae KpnE;Klebsiella pneumoniae KpnF;Klebsiella pneumoniae KpnG;Klebsiella pneumoniae KpnH;Klebsiella pneumoniae OmpK37;LptD;MdtQ;OmpA;PmrF;QnrB4;Shigella flexneri acrA;TEM-1;acrB;acrD;adeF;baeR;catA1;dfrA7;emrR;eptB;leuO;marA;mdtB;mdtC;msbA;oqxA;oqxB;rsmA;sul2;tet(A);vanG,aminocoumarin antibiotic;aminoglycoside antibiotic;carbapenem;cephalosporin;diaminopyrimidine antibiotic;disinfecting agents and antiseptics;fluoroquinolone antibiotic;glycopeptide antibiotic;glycylcycline;macrolide antibiotic;monobactam;nitrofuran antibiotic;nitroimidazole antibiotic;nucleoside antibiotic;penicillin beta-lactam;peptide antibiotic;phenicol antibiotic;phosphonic acid antibiotic;rifamycin antibiotic;sulfonamide antibiotic;tetracycline antibiotic,Col440I;IncQ1,9,-
ghana_GCF_022968365.1,8,catA1;dfrA15;fosA;oqxA;oqxB32;qacEdelta1;sul1;tet(D),FOSFOMYCIN;NITROFURAN/PHENICOL/QUINOLONE/TETRACYCLINE;PHENICOL;PHENICOL/QUINOLONE;QUATERNARY AMMONIUM;SULFONAMIDE;TETRACYCLINE;TRIMETHOPRIM,37,ArnT;CRP;Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline;Escherichia coli UhpT with mutation conferring resistance to fosfomycin;Escherichia coli mdfA;FosA6;Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics;Klebsiella pneumoniae KpnE;Klebsiella pneumoniae KpnF;Klebsiella pneumoniae KpnG;Klebsiella pneumoniae KpnH;Klebsiella pneumoniae OmpK37;LptD;MdtQ;OmpA;PmrF;Shigella flexneri acrA;acrB;acrD;adeF;baeR;catA1;dfrA15;emrR;eptB;leuO;marA;mdtB;mdtC;msbA;oqxA;oqxB;qacEdelta1;rsmA;sul1;tet(D);vanG,aminocoumarin antibiotic;aminoglycoside antibiotic;carbapenem;cephalosporin;diaminopyrimidine antibiotic;disinfecting agents and antiseptics;fluoroquinolone antibiotic;glycopeptide antibiotic;glycylcycline;macrolide antibiotic;monobactam;nitrofuran antibiotic;nitroimidazole antibiotic;nucleoside antibiotic;penicillin beta-lactam;peptide antibiotic;phenicol antibiotic;phosphonic acid antibiotic;rifamycin antibiotic;sulfonamide antibiotic;tetracycline antibiotic,IncFIA(HI1);IncFIB(K);IncFII(K),21,-
ghana_GCF_022968715.1,19,aac(3)-IIe;aac(6')-Ib-cr5;aph(3'')-Ib;aph(6)-Id;blaCTX-M-15;blaOXA-1;blaSHV-28;blaTEM-1;catB3;dfrA14;fosA;gyrA_S83I;nfsB_W94Ter;oqxA;oqxB19;parC_S80I;qnrB1;sul2;tet(A),AMINOGLYCOSIDE;AMINOGLYCOSIDE/QUINOLONE;BETA-LACTAM;FOSFOMYCIN;NITROFURAN;NITROFURAN/PHENICOL/QUINOLONE/TETRACYCLINE;PHENICOL;PHENICOL/QUINOLONE;QUINOLONE;SULFONAMIDE;TETRACYCLINE;TRIMETHOPRIM,46,AAC(3)-IIe;AAC(6')-Ib10;APH(3'')-Ib;APH(6)-Id;ArnT;CRP;CTX-M-15;Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline;Escherichia coli UhpT with mutation conferring resistance to fosfomycin;Escherichia coli gyrA conferring resistance to fluoroquinolones;Escherichia coli mdfA;Escherichia coli parC conferring resistance to fluoroquinolones;FosA6;Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics;Klebsiella pneumoniae KpnE;Klebsiella pneumoniae KpnF;Klebsiella pneumoniae KpnG;Klebsiella pneumoniae KpnH;Klebsiella pneumoniae OmpK37;LptD;MdtQ;OXA-1;OmpA;PmrF;QnrB1;SHV-28;Shigella flexneri acrA;TEM-1;acrB;acrD;adeF;baeR;dfrA14;emrR;eptB;leuO;marA;mdtB;mdtC;msbA;oqxA;oqxB;rsmA;sul2;tet(A);vanG,aminocoumarin antibiotic;aminoglycoside antibiotic;carbapenem;cephalosporin;diaminopyrimidine antibiotic;disinfecting agents and antiseptics;fluoroquinolone antibiotic;glycopeptide antibiotic;glycylcycline;macrolide antibiotic;monobactam;nitrofuran antibiotic;nitroimidazole antibiotic;nucleoside antibiotic;penicillin beta-lactam;peptide antibiotic;phenicol antibiotic;phosphonic acid antibiotic;rifamycin antibiotic;sulfonamide antibiotic;tetracycline antibiotic,IncFIB(K);IncFII(K),18,-
ghana_GCF_022968735.1,15,aac(3)-IIe;aac(6')-Ib-cr5;aph(3'')-Ib;aph(6)-Id;blaCTX-M-15;blaOXA-1;blaSHV-11;blaTEM-1;catB3;dfrA14;fosA;oqxA;oqxB32;qnrB1;sul2,AMINOGLYCOSIDE;AMINOGLYCOSIDE/QUINOLONE;BETA-LACTAM;FOSFOMYCIN;NITROFURAN/PHENICOL/QUINOLONE/TETRACYCLINE;PHENICOL;PHENICOL/QUINOLONE;QUINOLONE;SULFONAMIDE;TRIMETHOPRIM,43,AAC(3)-IIe;AAC(6')-Ib10;APH(3'')-Ib;APH(6)-Id;ArnT;CRP;CTX-M-15;Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline;Escherichia coli UhpT with mutation conferring resistance to fosfomycin;Escherichia coli mdfA;FosA6;Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics;Klebsiella pneumoniae KpnE;Klebsiella pneumoniae KpnF;Klebsiella pneumoniae KpnG;Klebsiella pneumoniae KpnH;Klebsiella pneumoniae OmpK37;LptD;MdtQ;OXA-1;OmpA;PmrF;QnrB1;SHV-11;Shigella flexneri acrA;TEM-1;acrB;acrD;adeF;baeR;dfrA14;emrR;eptB;leuO;marA;mdtB;mdtC;msbA;oqxA;oqxB;rsmA;sul2;vanG,aminocoumarin antibiotic;aminoglycoside antibiotic;carbapenem;cephalosporin;diaminopyrimidine antibiotic;disinfecting agents and antiseptics;fluoroquinolone antibiotic;glycopeptide antibiotic;glycylcycline;macrolide antibiotic;monobactam;nitrofuran antibiotic;nitroimidazole antibiotic;nucleoside antibiotic;penicillin beta-lactam;peptide antibiotic;phenicol antibiotic;phosphonic acid antibiotic;rifamycin antibiotic;sulfonamide antibiotic;tetracycline antibiotic,Col440I;IncFIB(K);IncFII(K),25,-
ghana_GCF_025660315.1,12,aac(6')-Ib-cr5;blaCTX-M-15;blaOXA-1;blaSHV-28;blaTEM-1;catB3;dfrA14;fosA;gyrA_S83I;oqxA;oqxB19;qnrB1,AMINOGLYCOSIDE/QUINOLONE;BETA-LACTAM;FOSFOMYCIN;NITROFURAN/PHENICOL/QUINOLONE/TETRACYCLINE;PHENICOL;PHENICOL/QUINOLONE;QUINOLONE;TRIMETHOPRIM,49,"AAC(6')-Ib10;CTX-M-15;Escherichia coli AcrAB-TolC with AcrR mutation conferring resistance to ciprofloxacin, tetracycline, and ceftazidime;Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline;Escherichia coli acrA;Escherichia coli emrE;Escherichia coli gyrA conferring resistance to fluoroquinolones;FosA6;H-NS;Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics;Klebsiella pneumoniae KpnE;Klebsiella pneumoniae KpnF;Klebsiella pneumoniae KpnG;Klebsiella pneumoniae KpnH;Klebsiella pneumoniae OmpK37;LptD;MdtQ;OXA-1;QnrB1;SHV-28;TEM-1;acrB;acrD;baeR;dfrA14;emrA;emrB;emrR;eptB;gadW;gadX;kdpE;leuO;marA;mdtA;mdtB;mdtC;mdtE;mdtF;mdtG;mdtH;oqxA;oqxB;rsmA;vanG",aminocoumarin antibiotic;aminoglycoside antibiotic;carbapenem;cephalosporin;diaminopyrimidine antibiotic;disinfecting agents and antiseptics;fluoroquinolone antibiotic;glycopeptide antibiotic;glycylcycline;macrolide antibiotic;monobactam;nitrofuran antibiotic;nucleoside antibiotic;penicillin beta-lactam;peptide antibiotic;phenicol antibiotic;phosphonic acid antibiotic;rifamycin antibiotic;tetracycline antibiotic,Col440I;IncFIA;IncFIA(HI1);IncFIB(AP001918);IncFIB(K);IncFII;IncFII(K);IncN,50,-
nigeria_ERR7226174,4,blaSHV;fosA;oqxA;oqxB19,BETA-LACTAM;FOSFOMYCIN;NITROFURAN/PHENICOL/QUINOLONE/TETRACYCLINE;PHENICOL/QUINOLONE,33,ArnT;CRP;Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline;Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin;Escherichia coli UhpT with mutation conferring resistance to fosfomycin;Escherichia coli mdfA;FosA6;Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics;Klebsiella pneumoniae KpnE;Klebsiella pneumoniae KpnF;Klebsiella pneumoniae KpnG;Klebsiella pneumoniae KpnH;Klebsiella pneumoniae OmpK37;LptD;MdtQ;OmpA;PmrF;SHV-11;Shigella flexneri acrA;acrB;acrD;baeR;emrR;eptB;leuO;marA;mdtB;mdtC;msbA;oqxA;oqxB;rsmA;vanG,aminocoumarin antibiotic;aminoglycoside antibiotic;carbapenem;cephalosporin;diaminopyrimidine antibiotic;disinfecting agents and antiseptics;elfamycin antibiotic;fluoroquinolone antibiotic;glycopeptide antibiotic;glycylcycline;macrolide antibiotic;monobactam;nitrofuran antibiotic;nitroimidazole antibiotic;nucleoside antibiotic;penicillin beta-lactam;peptide antibiotic;phenicol antibiotic;phosphonic acid antibiotic;rifamycin antibiotic;tetracycline antibiotic,Col440I,4,-
nigeria_ERR7226188,18,aac(3)-IIe;aac(6')-Ib-cr5;aadA1;blaCTX-M-15;blaOXA-1;blaSHV-1;catA1;catB3;dfrA15;fosA10;oqxA;oqxB;qacE;qacEdelta1;qnrB2;sul1;tet(A),AMINOGLYCOSIDE;AMINOGLYCOSIDE/QUINOLONE;BETA-LACTAM;FOSFOMYCIN;NITROFURAN/PHENICOL/QUINOLONE/TETRACYCLINE;PHENICOL;QUATERNARY AMMONIUM;QUINOLONE;SULFONAMIDE;TETRACYCLINE;TRIMETHOPRIM,42,AAC(3)-IIe;ArnT;CRP;CTX-M-15;Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline;Escherichia coli mdfA;Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics;Klebsiella pneumoniae KpnE;Klebsiella pneumoniae KpnF;Klebsiella pneumoniae KpnG;Klebsiella pneumoniae KpnH;Klebsiella pneumoniae OmpK37;LptD;MdtQ;OXA-1;OmpA;PmrF;QnrB20;SHV-1;Shigella flexneri acrA;aadA;acrB;acrD;baeR;catA1;dfrA15;emrR;eptB;fosA5;leuO;marA;mdtB;mdtC;msbA;oqxA;oqxB;qacEdelta1;rsmA;sul1;tet(A);vanG,aminocoumarin antibiotic;aminoglycoside antibiotic;carbapenem;cephalosporin;diaminopyrimidine antibiotic;disinfecting agents and antiseptics;fluoroquinolone antibiotic;glycopeptide antibiotic;glycylcycline;macrolide antibiotic;monobactam;nitrofuran antibiotic;nitroimidazole antibiotic;nucleoside antibiotic;penicillin beta-lactam;peptide antibiotic;phenicol antibiotic;phosphonic acid antibiotic;rifamycin antibiotic;sulfonamide antibiotic;tetracycline antibiotic,IncFIB(K);IncHI1B,12,-
