"Genome ID","Genome Name","QC","Genome Length","No. Contigs","Largest contig","GC Content","N50","Ns per 100 kbp","Average Contig Length"
"4Hnraj3XgcJrSeDnYDpxAb","SAMEA5753353","Passed","5416627","59","473965","57.27","258038","0.18",91807
"bL6NJqitzvkQG79RwxfPZo","SAMEA111504606","Passed","5717452","105","552467","56.94","174902","27.67",54452
"uH9qCLXB9HGRpSMcA5KAZK","SAMEA115925722","Passed","5476999","114","303547","57.13","149602","5.48",48044
"gz4qmnkBjJwDq7sn2xK47Y","SAMEA4785017","Passed","5494371","97","797681","57.28","220755","16.00",56643
"os9PxKsnWVQ1yaa4MF8a6c","SAMEA111504611","Passed","5601180","90","401810","57.11","229865","25.83",62235
"6A7Wk1psHh9ewryZXAJyXf","SAMEA115925712","Passed","5455523","110","371613","57.33","156391","12.68",49596
"iCV5KZtRkyPyEau49JCQkr","SAMN36884875","Passed","5773103","127","636279","56.91","225351","5.13",45458
"2H7LhawUkgSTwFeNQbsHfx","SAMN36943779","Passed","5209856","150","348177","57.43","102997","7.54",34732
"aHqRui8jXfGrasdZ9o7RMw","SAMEA7472505","Passed","5653306","102","700419","56.99","220949","10.61",55425
"ajk5KRQbpVw1sMvcdSbbn1","SAMN05960949","Passed","5552343","87","380439","57.24","197288","5.35",63820
"cLrDJaBZwCxksJns9enuHQ","SAMEA5753763","Passed","5366024","98","372551","57.31","174820","5.46",54755
"9EK6nFkQxjy3n4a8BZUhs5","SAMN36884884","Passed","5492889","75","505610","57.23","246013","5.46",73239
"opgxhkceTYBhoHePQ7i3J2","SAMEA111505116","Passed","5668121","100","492414","56.98","172690","21.44",56681
"3CZfqkzSWZLhnUJapfWebH","SAMN41988748","Passed","5372577","64","853194","57.35","320364","9.21",83947
"k4M3rSMsx1QNStuBYozfXJ","SAMN05960886","Passed","5431778","57","882722","57.23","333576","1.80",95294
"17cjBXCud4W8WzY9Adcadf","SAMEA6654231","Passed","5756635","79","954718","56.71","375724","8.79",72869
"bgSrxKwxA6HeN1jdLNgHsG","SAMEA5753739","Passed","5302083","115","460474","57.54","169641","7.49",46105
"uQyJaAJRdkvckdJnxkNQWD","SAMEA5753725","Passed","5230035","45","961174","57.44","281499","3.80",116223
"8JbGkEtkonwzJzAFhjvvPP","SAMEA7472509","Passed","5360306","112","495550","57.32","169093","9.44",47860
"dQaeWNGmkR27kysq26if8M","SAMEA5753730","Passed","5282733","117","354351","57.57","120730","7.74",45152
"r9av7Pjq7KmtguHZVx827e","SAMEA115925713","Passed","5206081","57","794347","57.58","268028","7.64",91335
"vJZE3Nvvtpj7S7mzx9aBLJ","SAMEA6155781","Passed","5124243","18","2234299","57.70","734680","19.26",284680
"1ZKLGKjWkBqdJjheeB9mFL","SAMN05960879","Passed","5592655","88","784658","57.16","377425","5.22",63553
"8YnVyxHA7nqtqzDfQdJ3mB","SAMEA8515137","Passed","5643771","112","309784","57.00","136001","76.07",50391
"5Vzojp1ehDS15wUpA1k7aJ","SAMEA111505122","Passed","5574750","105","367947","57.08","185870","11.86",53093
"hNFZHi4TzoXS9HPc1dSDA8","SAMEA5753773","Passed","5369360","125","361376","57.30","130726","1.81",42955
"pnFzwi6DT6U9P7HitW1FMj","SAMEA4785011","Passed","5692219","116","418055","57.08","207847","17.37",49071
"nL2Rwd36aKVaXBMmuKchbV","SAMEA115925707","Passed","5614572","93","809784","57.09","264394","14.16",60372
"dZfePqBBSqwaWSZP1wwyxd","SAMEA111504607","Passed","5440994","58","565569","57.17","203878","18.34",93810
"aV1sM8V81ttSdPBmseMK66","SAMN05960907","Passed","5665118","71","539164","57.09","286197","3.51",79790
"geUM1oQYdtik6Xehr3Zscf","SAMEA5753355","Passed","5343727","75","504999","57.45","245559","3.91",71250
"iatBhmBrmLiAAiLsaRp5YH","SAMEA6422766","Passed","5497045","62","500557","57.21","334974","14.33",88662
"hN9QXqRKzHjwKe8aeifrGQ","SAMEA4785012","Passed","5497370","94","797068","57.27","196863","16.17",58483
"aWGoHCv91FJnnizvSsmbKE","SAMN05960958","Passed","5198329","32","1443875","57.55","410840","5.77",162448
"jpRJy2sHoCEddK5MzjPAm8","SAMEA111504612","Passed","5427564","79","409357","57.41","248565","7.61",68703
"jTcoqu2MdhH2h4g6svP51p","SAMN41988737","Passed","5670518","72","690368","57.07","303016","10.46",78757
"kUP4v3dKJP9skf3bHvwXUu","SAMN05960904","Passed","5162181","68","426396","57.54","199781","1.92",75914
"kqYjA4z1VWxyg1LQ1akVnQ","SAMEA6155866","Passed","5522518","48","735518","57.08","409740","14.21",115052
"uc7XTeozGMpUiurZSWSuWM","SAMN05960925","Passed","5586859","69","601118","57.16","281584","3.56",80969
"xhNWCcrWXPqL9Ru7rU3mrt","SAMN05960895","Passed","5488037","58","465955","57.12","279596","0.00",94621
"mbBUQEkWPfbuxaRBM3VeNf","SAMEA6155829","Passed","5761291","89","510170","56.98","321397","16.94",64734
"pvabPX7NiEvSwjZkUUaUuv","SAMN36884878","Passed","5744966","87","532040","57.00","319268","3.46",66034
"dyToryGFYPUg65sMmJ5YhD","SAMN05960881","Passed","5594041","91","705082","57.16","279938","3.50",61473
"wTdMVFMhJBMNS9NczV2jFY","SAMEA7472442","Passed","5717304","110","533165","57.07","334557","8.92",51975
"8Zy84MWZMiScmkJwsiFnyQ","SAMEA111505123","Passed","5292800","184","222350","57.46","94724","21.95",28765
"rvGui5euCpQhNxbsBaxRQK","SAMEA6155778","Passed","5123507","19","2235638","57.70","734485","15.40",269658
"koB4JkyTa9iuBJaS6ynr2d","SAMN46427849","Passed","5434412","59","924180","57.34","422635","16.45",92109
"k8xYz3zN61c7cXRqG1V9mj","SAMEA5753754","Passed","5655262","144","524258","56.95","153356","5.32",39273
"gUxVpQuVi3i99x2a1hsEc7","SAMEA5753757","Passed","5466959","67","469489","57.13","311666","5.40",81596
"j62D2jwXVD9t2v2ZiXNj24","SAMEA6155834","Passed","5123462","17","2234328","57.70","734247","21.10",301380
"r22EXMLiW4Z32nTtPaYYRY","SAMEA6158235","Passed","5130106","124","350212","57.43","99473","13.27",41372
"wnY8BLJvKiKJj8EKgNEMqp","SAMEA111505139","Passed","5813282","146","380037","56.56","150751","22.35",39817
"hv4tdSDtdCJiL7h8Erv8Qw","SAMEA7472507","Passed","5370520","106","456596","57.29","236727","9.25",50665
"bJZWZD2FSBUWqM6DtiggqM","SAMEA7472468","Passed","5582501","83","433580","57.12","220998","7.67",67259
"xyGww7Z1sR6wErTvaU1AXk","SAMN05960898","Passed","5511802","67","675986","57.23","279860","3.54",82266
"4mRJucNety59xcCC1tY51j","SAMEA6422764","Passed","5540310","80","506491","57.15","203867","17.69",69254
"emScuqyhFJCc1HeEFEmvuE","SAMEA6155893","Passed","5424476","47","753411","57.38","439597","14.58",115414
"iBWRLXhehPKCwucq4oFFBv","SAMEA5753448","Passed","5441695","107","481456","57.34","329792","5.40",50857
"pW1Kpbr4jEfJfJpkB7udD1","SAMEA6155826","Passed","5579911","51","898643","57.15","430036","9.07",109410
"r8hvFxtWhiAbUyg1kwXsir","SAMEA7472515","Passed","5199275","67","481646","57.41","261398","5.92",77601
"kdUfqfNFMSrgBoucX5xvfP","SAMEA7472372","Passed","5652357","50","767723","57.17","280609","5.29",113047
"8UQhM26DjirjJRY7tk4fiJ","SAMEA7472405","Passed","5472680","84","642218","57.39","337412","9.10",65151
"j9ZShn3RZeenuS7oiH6gYa","SAMEA6155855","Passed","5427520","45","750404","57.37","369069","16.34",120612
"sB3AMskB74w4RxSkWLsher","SAMEA5753731","Passed","5848891","119","968408","56.88","163502","5.04",49150
"viX7qNyijfnBPd9ruFm8we","SAMEA7472517","Passed","5397496","43","995312","57.37","315681","7.45",125523
"mhumFeLBiEKJ31MhCzA8vb","SAMN36884891","Passed","5441187","80","793575","57.27","215128","1.84",68015
"5f2Wsts6UszDxa6ggD49MU","SAMEA5753371","Passed","5791130","129","790275","56.97","307148","5.11",44892
"nxs8abV3G6H4G7mikPrnuF","SAMEA6422761","Passed","5372566","42","752580","57.26","363912","5.44",127918
"bS81DVrppm6u5fWTkYFQ7B","SAMEA6422785","Passed","5654869","83","716573","57.11","249812","13.90",68131
"5CNpBnF5H4n9eHHomRLzQT","SAMEA6155865","Passed","5491216","43","829959","57.10","370914","14.42",127703
"7osKw9nwAbzmFk8SAZCCVq","SAMEA5753797","Passed","5292473","71","595320","57.37","325458","1.85",74542
"utzjj6oLjCnX7gZM8dEmkc","SAMEA111505126","Passed","5652758","157","335523","56.91","100963","24.08",36005
"aFmgnCiB28KNQAe6qxxKur","SAMEA7472371","Passed","5196967","79","469800","57.61","149533","9.56",65784
"cocDC5PVaDCsHxNGfWc5k3","SAMEA6422756","Passed","5051112","23","1024860","57.81","470022","19.54",219614
"8kVbukWkaFEqdXzhiXoBpf","SAMEA6155853","Passed","5519436","43","822715","57.11","391929","17.81",128359
"kaiogLxCJLSa245NCTkt9g","SAMN05960956","Passed","5464941","61","580391","57.10","367135","9.08",89589
"oGSv5BjAnBd2ofvw7ZBZEz","SAMEA6654232","Passed","5750957","100","978808","56.72","387770","8.64",57510
"cdbaGrHDemPtw1BgydfcvJ","SAMN36884876","Passed","5613901","103","444061","57.17","239299","1.78",54504
"6Yx8hEXhsdHNMdjcnHpdXj","SAMEA6155833","Passed","5546421","68","898934","57.19","341358","17.69",81565
"hAbwaa2M11aDucG5dNcx6N","SAMEA6155807","Passed","5554592","60","1913179","57.08","479738","8.80",92577
"ov8R6Jr2mE8UgaeeqheaFP","SAMEA115925716","Passed","5527922","119","347893","56.86","130196","17.95",46453
"dgL11DroRQLtr1f55o8bTr","SAMN05960906","Passed","5662239","75","599299","57.09","258695","1.75",75497
"kVaSn9PWDtVoXozYzBTQFk","SAMEA111504609","Passed","5693111","85","509091","56.93","230038","7.76",66978
"rSffqw8uKXHjTgvArFBgq7","SAMEA6155858","Passed","5532930","61","608346","57.10","388799","12.51",90704
"miwMhf78aTEavL2snrWv8o","SAMEA6155789","Passed","5425973","46","750235","57.38","352306","5.49",117956
"jVsruuu8Mj75YfkzqpdtsP","SAMEA5753327","Passed","5504642","123","452561","57.13","237644","5.38",44753
"fh4M2ynawwkpe9bESyogqC","SAMEA5753786","Passed","5283235","41","468187","57.46","326406","5.51",128859
"bV4RhJMeAGN5HN3w7U73N2","SAMEA8515127","Passed","5496235","140","388614","57.28","145545","10.84",39259
"vtgvqBT53v8fF46ctdA8wB","SAMEA6155877","Passed","5121762","22","1833547","57.70","478691","11.54",232807
"umyMDwpZFUJdhx8vnF28oZ","SAMEA6155773","Passed","5412690","43","1014073","57.38","653144","14.50",125877
"pchsxW6orFh8S3vDcUZoVx","SAMEA5753803","Passed","5700352","91","563761","57.05","247012","5.35",62641
"aipP1e8eQesusYkxTMLP3u","SAMEA6155929","Passed","5574568","54","541094","57.08","406006","8.79",103233
"jE5MBuuESAgX1U37dXCbVV","SAMEA5753804","Passed","5229188","48","755484","57.55","316106","2.29",108941
"cLnu3gj3nHHhWDddjKVqpA","SAMEA6155847","Passed","5536106","59","607832","57.10","383721","26.72",93832
"92wiTibEdTeNBpqY17uE8E","SAMEA6422771","Passed","5382200","50","639850","57.36","314068","9.09",107644
"dAkZRDf8BnMSmHg38GM8rm","SAMN05960921","Passed","5794654","53","1333582","56.92","410759","3.37",109333
"eH94miV6WHVNfQjumX6o7R","SAMEA6155843","Passed","5122039","21","1910648","57.70","479836","19.07",243907
"mZQaeb3FczXTW5Z5S3MwVo","SAMEA7472409","Passed","5186998","57","519618","57.55","304964","9.56",91000
"7hnX9PJywogzyRrzeEeVfk","SAMN05960873","Passed","5586255","61","530977","57.17","285266","5.33",91578
"ppPWXTxt911sQikKZ64yQ2","SAMEA111505118","Passed","5512475","84","436988","57.28","207741","19.57",65625
"4rJRoHYr5NR82wGsPzD5vn","SAMEA6155876","Passed","5687042","152","478715","56.79","182034","10.41",37415
"4Rve9vkKjgmV9RdsLuAftK","SAMN31892430","Passed","5281734","80","446095","57.26","172346","33.89",66022
"k6jL9xWt1Di2np5pYwysKb","SAMEA6635864","Passed","5763365","94","510170","56.98","252436","18.63",61312
"azNWjydAsZsWq5oBkJZpsG","SAMEA7472511","Passed","5824339","117","332303","56.70","150479","5.12",49781
"bdwVoBzdHnEN9SvqNbikxT","SAMN05960957","Passed","5462152","65","422898","57.10","239205","9.04",84033
"8iTG3rswnZSXfdyUnnin2P","SAMEA6155792","Passed","5532180","72","551352","57.22","321945","14.08",76836
"kvBvKLVWrLzSZ2bJfyvXeG","SAMEA5753369","Passed","5527784","168","266709","57.35","145100","1.81",32903
"fs5SV1mCiSjT1fyFMjF6VZ","SAMEA6654216","Passed","5613150","79","510486","57.10","344484","19.40",71053
"wzDKTANo7rKwooQZ846smZ","SAMEA5753721","Passed","5455897","77","506816","57.38","222904","3.59",70856
"cGYL9WzsyTTm9hRXfqGYGn","SAMEA7472380","Passed","5143853","164","322793","57.71","61623","7.70",31365
"iU6qbLVcAJ8i2C414QCBri","SAMEA7472477","Passed","5511400","55","559814","57.21","319804","5.39",100207
"pbnK26AZXgQgjnJLjZv9wx","SAMEA6155779","Passed","5122439","19","1833117","57.70","734765","17.30",269602
"jBBWXA8udJH12wFK6SRUnY","SAMEA115925719","Passed","5821099","130","651506","56.56","203963","20.22",44778
"mU9yEWqCpyz52t5ggREiez","SAMN05960966","Passed","5556965","79","455358","57.24","227618","3.60",70341
"deos3gCFmYQxmsgmjQDH7U","SAMEA115925721","Passed","5648471","156","263288","56.78","119357","16.08",36208
"qSJ6YXKzWVB7Hh8TNTP9tA","SAMEA115925703","Passed","5308288","74","448740","57.43","228531","7.54",71734
"87PJxck965L12Gh9N8vXp6","SAMEA5753727","Passed","5186525","87","345821","57.64","139878","0.00",59615
"3dikTEvbuQAXQaWLF6wGmM","SAMEA5753354","Passed","5305677","115","378927","57.57","144443","3.69",46136
"85vFfmMxAWjqo18pNuvhoz","SAMEA4785013","Passed","5494548","105","797567","57.28","196862","17.93",52329
"ptHiVHjPXfRZKwpSphHw3n","SAMEA115925723","Failed","5459625","227","150319","57.12","51934","5.90",24051
"8LLpFVCdS1PrSrLbyHVaST","SAMN41988735","Passed","5455565","52","935984","57.20","397739","10.83",104915
"43FEb4GXdhp3cEAaSbWjBv","SAMEA7472411","Passed","5190825","49","522323","57.53","304965","7.65",105935
"uUpNEneKmgYQtETf9ghiUv","SAMEA7472462","Passed","5549348","78","531971","57.20","208082","8.96",71145
"c9h9kcdQiPzKhFFe3UtP9v","SAMEA6155838","Passed","5410733","43","756320","57.38","451954","9.11",125831
"u1e4xLvcNu2xvy625KyC2N","SAMEA5753753","Passed","5095896","127","499019","57.76","135055","0.00",40125
"aKHZjRjNNmn3HymxZeqUxb","SAMEA5753792","Passed","5460684","108","534048","57.34","244936","3.64",50562
"cLPoF1A7AnHCaibQsPz2zV","SAMEA5753738","Passed","5718959","228","494024","57.15","119711","3.46",25083
"jKvEssiC3yAVNGhJtayyUD","SAMEA6654220","Passed","5669714","89","986967","56.83","265288","5.24",63705
"v14mp2i8gwWnMRM21sjxpA","SAMEA6155854","Passed","5425161","44","704054","57.38","369270","14.49",123299
"m2GtyCCQgQRVk91EqqtwyE","SAMEA4785007","Passed","5599755","99","315853","56.86","176645","17.64",56563
"hoocsxPfXfnsg2XLutMNAK","SAMEA7472365","Passed","5807373","125","736304","56.61","205214","12.00",46459
"9z1oeZUBBJAF8C3UyBvx4E","SAMEA12311723","Passed","5495723","164","350060","57.10","145725","9.04",33511
"mjYYGyn7pj1GTEgBMVbm57","SAMEA6155872","Passed","6021322","83","419089","56.53","203585","3.32",72546
"eb7Qrn3aAFtT9DavapU5Hy","SAMEA5753317","Passed","5334497","146","335232","57.41","131424","9.04",36538
"2mJG6aY8YTfLy2ghLcMvcU","SAMEA7472355","Passed","5649976","55","727445","57.18","280609","5.26",102727
"udYSjTG1qwdx9E8AefFSHg","SAMEA5753356","Passed","5340296","79","504925","57.46","328529","3.69",67599
"gnwExAtn8aB3Sh7bHjWrkW","SAMEA6422780","Passed","5394123","68","545591","57.44","288645","7.27",79325
"pkNR3coqAs41UDm1TjHtVx","SAMEA6155869","Passed","5517161","44","592198","57.12","381477","24.99",125390
"wGwgZmQ8x9oZcrAjjxfoDy","SAMEA6654224","Passed","5753654","47","1813725","56.71","1077390","6.92",122418
"pcrXU5kynsB1PCESpWGNH4","SAMN31892426","Passed","5608328","65","911198","57.16","347188","12.52",86282
"bjsEga6MiZDiitdb3bdRiH","SAMN05960938","Passed","5477500","43","1704966","57.26","552915","7.17",127384
"phs67xfBWNQemLZ4RhzKqc","SAMEA6155814","Passed","5766692","90","552094","56.97","321196","17.08",64074
"wLmNuoXQx7aJEsUNtVkqeQ","SAMEA6422736","Passed","5780757","116","655696","56.88","344543","3.43",49834
"3DKNa7b6peEvLjs1NJ8Yg9","SAMN05960963","Passed","5518715","80","1222034","57.30","357395","3.48",68984
"9FMy9xUJMnFcAwdgXVsANU","SAMN05960962","Passed","5170668","34","988161","57.68","401133","9.48",152078
"ckAG3EVebxB4xi7aNYvhEA","SAMEA6155859","Passed","5186335","20","1839166","57.55","582840","20.94",259317
"83GFGNxEQ55fVsFYZGs5gK","SAMEA6155862","Passed","5636272","85","506042","57.06","323746","15.72",66309
"tfFNVKNbmL8cWoRQhNWp59","SAMEA6422735","Passed","5468880","39","1484787","57.19","361062","10.82",140228
"vJYckjzrYprKU3MEzNj7Fp","SAMEA111503612","Passed","5548925","69","714726","57.21","299316","12.42",80419
"oahhcaMCteeYDPc2GHaFxi","SAMEA5753782","Passed","5222628","76","429884","57.61","144218","0.00",68719
"gHwCs7jfA2m26zJTwoQDE1","SAMN05960902","Passed","5239663","47","514189","57.59","292307","5.59",111482
"6GDQioRLuUjGgXBvzJ15SN","SAMEA6155875","Passed","5580341","55","898930","57.15","430255","14.05",101461
"wSEshuFUNDgMEGBiHnLH9y","SAMEA5753801","Passed","5451456","154","293262","57.28","152464","3.61",35399
"5eG887v1RUpSkjdGw8sGgS","SAMN36884883","Passed","5413527","75","684954","57.37","307827","1.83",72180
"97yZNNPPKmYM3JYMqwuMJk","SAMEA115925704","Passed","5777739","81","689460","56.70","240739","11.93",71330
"6MHXM1WJLUdmMekDndtf9o","SAMEA115925715","Passed","5833879","92","654269","56.55","190421","13.61",63412
"fvPMyr5PwYZ9hLw15vxCDJ","SAMEA111504604","Passed","5637811","83","720107","57.04","223409","23.75",67925
"jKtntykrHw7dbtizkJY58n","SAMEA6155883","Passed","5121823","21","1833400","57.70","416908","19.08",243896
"2zPTZkh76qfbRoz5iw4sY1","SAMEA111505128","Passed","5467915","168","253201","57.24","96373","34.84",32547
"mxGK98nBQ8MpsZjV37SZ9z","SAMEA115925705","Passed","5478074","93","500127","57.25","187986","16.06",58904
"94Pknj5Nyf3QQBDqPjr6it","SAMEA5753789","Passed","5321316","118","487513","57.34","158442","3.76",45096
"qXXvn6JkA1n3XnLWZL5pXq","SAMEA6654219","Passed","5610745","77","551236","57.10","374724","16.11",72867
"8Xgc52vtKZVkfHJUruR9Y2","SAMEA111504615","Passed","5468678","65","386554","57.23","179955","20.11",84134
"8ZSgD6stSFnVwrq7ktKyXW","SAMEA6422777","Passed","5554255","71","599053","57.02","307016","1.73",78229
"r4AoMQg5rneJcvC4fvfkPH","SAMN45807625","Passed","5578628","63","533633","57.15","333905","14.30",88550
"kgF7ju1JDHCHz9o4VMNQ91","SAMN05960882","Passed","5627094","102","510289","57.15","152542","1.78",55168
"2zmwVkNyF5VkwamG5Jafkv","SAMEA5753707","Passed","5322968","85","452976","57.25","172025","1.88",62623
"7p9Cky8RYKxpUFo3fVUd3B","SAMEA4785009","Passed","5495191","96","797068","57.28","198738","16.14",57242
"p6tXQwFHWQ5v1iYXYbG3Nk","SAMEA7472390","Passed","5247011","102","362184","57.48","167810","3.75",51441
"94KiySvHMunwJLkimJxpF9","SAMEA6155798","Passed","5455818","54","1070819","57.25","463088","16.00",101034
"sxBhCqe6JfCuhqcVxJ64TP","SAMN05960937","Passed","5478722","44","775989","57.26","399410","7.17",124516
"tnaMM8Jew5zJav2r6TgpGL","SAMN36884886","Passed","5456114","56","692172","57.34","456557","5.43",97431
"jmUDKLwZX2hKEkNjdsmyB4","SAMEA6155909","Passed","5407948","60","988826","57.26","257140","14.52",90132
"eHV5akLFSxPCw6DHExHqfW","SAMEA7472489","Passed","5638066","119","359980","57.07","164776","8.80",47379
"7LgrgfhCCcAtm1zUX8QJRr","SAMEA6422746","Passed","5549833","43","729251","57.14","377105","8.81",129066
"8jXG7iH86drY6gQMgCinc4","SAMEA6155928","Passed","6026939","74","462232","56.53","218199","14.68",81445
"9LVQVQ8TSA1bP3abTZgCxt","SAMEA6155891","Passed","5654270","94","705707","57.00","284840","17.30",60152
"4ohEiVid7BMPdopx1TBd9q","SAMEA5753793","Passed","5236360","80","549242","57.43","353414","1.87",65455
"35HdoqhevFZ7ogKPvWK6MG","SAMEA6654244","Passed","5583218","50","1049232","56.85","427548","8.92",111664
"nfWUVQ7io1bTNgXQArzTgB","SAMEA6422783","Passed","5694534","84","542735","56.87","314467","6.92",67792
"r8kPKmfLUtjTQHXvob6CDa","SAMEA8515138","Passed","5695484","155","646781","56.91","226921","5.25",36745
"x18NQidq7sicRzihob2BFF","SAMN05960899","Passed","5581806","73","508454","57.08","208060","7.02",76463
"ahpcz4JJbo98b5GoYf9pUj","SAMEA6155793","Passed","5328273","27","1260401","57.46","361069","10.89",197343
"ey8XCQmUMpjkqHe1wfrKMu","SAMN36884887","Passed","5667247","114","445862","57.10","214703","8.58",49713
"pGFpThALdSx9WadLPUCP27","SAMEA5753779","Passed","5175547","98","410417","57.53","168353","4.17",52812
"gHRiH5GELXDMrX85tVKZ28","SAMEA111504602","Passed","5662574","89","624324","56.95","330944","9.22",63624
"pBqSWqxGYCeRocDsfgh6iq","SAMEA5753796","Passed","5394279","40","900846","57.29","482040","0.00",134857
"qCbmDssgHLcBae438R5Dyc","SAMEA4785016","Passed","5494881","100","797636","57.28","185840","12.61",54949
"iFAMgQEQ9r63a5vi8Ebd8V","SAMN05960916","Passed","5449573","42","911057","57.15","474466","0.00",129752
"jTiRmR53by543rfq4UbbmC","SAMEA6654210","Passed","5597516","78","588273","57.11","243192","24.87",71763
"mXmvUBJsJ3NCEFC9wtxG9K","SAMEA111505137","Passed","5220165","48","655497","57.56","250675","16.69",108753
"btUoFbd8aqxcD1n6YhpvHc","SAMEA5753781","Passed","5382186","83","500228","57.25","194483","0.00",64846
"okt9qZNhhLcsFeCFnXKnuK","SAMN05960929","Passed","5463715","64","677054","57.30","231164","0.00",85371
"hbHdbHfoXrwNJcLBhzHvVm","SAMN05960924","Passed","5497937","73","662654","57.21","158270","5.33",75314
"kBALZdVn7VujpzkzPa26An","SAMEA7472437","Passed","5472377","63","531964","57.27","342312","12.74",86863
"tTyCjY4Csbq3fyU8svwuo4","SAMEA111504600","Passed","5612878","72","650371","57.16","303365","11.12",77957
"hxXhLzorgrHxR6NnkSrdqN","SAMEA6155892","Passed","5369513","81","479766","57.38","222026","9.14",66290
"eATSxGb5iiL8KhfjiQiVPf","SAMEA5753489","Passed","5346253","130","300488","57.36","152656","3.59",41125
"axVxmWyZzm8aS1bKjVkAnL","SAMEA6155808","Passed","5795413","53","1404125","56.55","501072","23.60",109347
