"Genome ID","Genome Name","Version","ST","gapA","infB","mdh","pgi","phoE","rpoB","tonB"
"r8hvFxtWhiAbUyg1kwXsir","SAMEA7472515","mlst-3390273-3","530",2,39,2,1,1,4,24
"kdUfqfNFMSrgBoucX5xvfP","SAMEA7472372","mlst-3390273-3","45",2,1,1,6,7,1,12
"8UQhM26DjirjJRY7tk4fiJ","SAMEA7472405","mlst-3390273-3","133",12,1,1,2,5,1,36
"j9ZShn3RZeenuS7oiH6gYa","SAMEA6155855","mlst-3390273-3","17",2,1,1,1,4,4,4
"sB3AMskB74w4RxSkWLsher","SAMEA5753731","mlst-3390273-3","397",2,1,1,1,21,44,9
"viX7qNyijfnBPd9ruFm8we","SAMEA7472517","mlst-3390273-3","76",4,1,1,1,21,1,35
"mhumFeLBiEKJ31MhCzA8vb","SAMN36884891","mlst-3390273-3","4332",4,1,1,36,12,1,38
"5f2Wsts6UszDxa6ggD49MU","SAMEA5753371","mlst-3390273-3","397",2,1,1,1,21,44,9
"nxs8abV3G6H4G7mikPrnuF","SAMEA6422761","mlst-3390273-3","219",2,1,2,3,27,1,39
"bS81DVrppm6u5fWTkYFQ7B","SAMEA6422785","mlst-3390273-3","147",3,4,6,1,7,4,38
"5CNpBnF5H4n9eHHomRLzQT","SAMEA6155865","mlst-3390273-3","101",2,6,1,5,4,1,6
"7osKw9nwAbzmFk8SAZCCVq","SAMEA5753797","mlst-3390273-3","661",4,3,1,36,9,10,14
"utzjj6oLjCnX7gZM8dEmkc","SAMEA111505126","mlst-3390273-3","15",1,1,1,1,1,1,1
"aFmgnCiB28KNQAe6qxxKur","SAMEA7472371","mlst-3390273-3","76",4,1,1,1,21,1,35
"cocDC5PVaDCsHxNGfWc5k3","SAMEA6422756","mlst-3390273-3","5248",2,1,3,1,10,4,56
"8kVbukWkaFEqdXzhiXoBpf","SAMEA6155853","mlst-3390273-3","342",2,1,1,1,1,1,100
"kaiogLxCJLSa245NCTkt9g","SAMN05960956","mlst-3390273-3","716",71,1,1,2,16,4,164
"oGSv5BjAnBd2ofvw7ZBZEz","SAMEA6654232","mlst-3390273-3","17",2,1,1,1,4,4,4
"cdbaGrHDemPtw1BgydfcvJ","SAMN36884876","mlst-3390273-3","14",1,6,1,1,1,1,1
"6Yx8hEXhsdHNMdjcnHpdXj","SAMEA6155833","mlst-3390273-3","111",2,1,5,1,17,4,42
"hAbwaa2M11aDucG5dNcx6N","SAMEA6155807","mlst-3390273-3","22",2,3,1,1,1,4,4
"ov8R6Jr2mE8UgaeeqheaFP","SAMEA115925716","mlst-3390273-3","979977a407ebbfd2515448fb245ba6ea6689c0cb",2,53,3,1,10,"cf8bbb81eb3e3d4384d06f0fc099a912d9e6a109",18
"dgL11DroRQLtr1f55o8bTr","SAMN05960906","mlst-3390273-3","147",3,4,6,1,7,4,38
"kVaSn9PWDtVoXozYzBTQFk","SAMEA111504609","mlst-3390273-3","147",3,4,6,1,7,4,38
"rSffqw8uKXHjTgvArFBgq7","SAMEA6155858","mlst-3390273-3","392",3,4,6,1,7,4,40
"miwMhf78aTEavL2snrWv8o","SAMEA6155789","mlst-3390273-3","17",2,1,1,1,4,4,4
"jVsruuu8Mj75YfkzqpdtsP","SAMEA5753327","mlst-3390273-3","3271",2,5,1,3,7,1,36
"fh4M2ynawwkpe9bESyogqC","SAMEA5753786","mlst-3390273-3","3293",2,1,5,1,10,4,13
"bV4RhJMeAGN5HN3w7U73N2","SAMEA8515127","mlst-3390273-3","244",2,5,1,1,1,1,24
"vtgvqBT53v8fF46ctdA8wB","SAMEA6155877","mlst-3390273-3","5241",2,5,399,1,4,1,4
"umyMDwpZFUJdhx8vnF28oZ","SAMEA6155773","mlst-3390273-3","5243",2,1,1,347,9,1,12
"pchsxW6orFh8S3vDcUZoVx","SAMEA5753803","mlst-3390273-3","397",2,1,1,1,21,44,9
"aipP1e8eQesusYkxTMLP3u","SAMEA6155929","mlst-3390273-3","219",2,1,2,3,27,1,39
"jE5MBuuESAgX1U37dXCbVV","SAMEA5753804","mlst-3390273-3","1658",2,1,11,1,9,1,112
"cLnu3gj3nHHhWDddjKVqpA","SAMEA6155847","mlst-3390273-3","392",3,4,6,1,7,4,40
"92wiTibEdTeNBpqY17uE8E","SAMEA6422771","mlst-3390273-3","5239",2,1,1,1,514,4,4
"dAkZRDf8BnMSmHg38GM8rm","SAMN05960921","mlst-3390273-3","1788",2,6,160,1,226,111,299
"eH94miV6WHVNfQjumX6o7R","SAMEA6155843","mlst-3390273-3","5241",2,5,399,1,4,1,4
"mZQaeb3FczXTW5Z5S3MwVo","SAMEA7472409","mlst-3390273-3","592",2,3,6,1,9,4,13
"7hnX9PJywogzyRrzeEeVfk","SAMN05960873","mlst-3390273-3","873",14,1,2,1,7,4,182
"ppPWXTxt911sQikKZ64yQ2","SAMEA111505118","mlst-3390273-3","5469",18,3,1,1,7,1,439
"4rJRoHYr5NR82wGsPzD5vn","SAMEA6155876","mlst-3390273-3","502",2,53,3,1,10,4,18
"4Rve9vkKjgmV9RdsLuAftK","SAMN31892430","mlst-3390273-3","65",2,1,2,1,10,4,13
"k6jL9xWt1Di2np5pYwysKb","SAMEA6635864","mlst-3390273-3","25",2,1,1,1,10,4,13
"azNWjydAsZsWq5oBkJZpsG","SAMEA7472511","mlst-3390273-3","348",2,1,20,1,12,15,16
"bdwVoBzdHnEN9SvqNbikxT","SAMN05960957","mlst-3390273-3","716",71,1,1,2,16,4,164
"8iTG3rswnZSXfdyUnnin2P","SAMEA6155792","mlst-3390273-3","25",2,1,1,1,10,4,13
"kvBvKLVWrLzSZ2bJfyvXeG","SAMEA5753369","mlst-3390273-3","1263",4,1,1,1,12,1,35
"fs5SV1mCiSjT1fyFMjF6VZ","SAMEA6654216","mlst-3390273-3","25",2,1,1,1,10,4,13
"wzDKTANo7rKwooQZ846smZ","SAMEA5753721","mlst-3390273-3","1962",2,1,65,1,240,4,43
"cGYL9WzsyTTm9hRXfqGYGn","SAMEA7472380","mlst-3390273-3","4408",2,3,333,1,9,1,13
"iU6qbLVcAJ8i2C414QCBri","SAMEA7472477","mlst-3390273-3","40",2,1,10,1,4,1,21
"pbnK26AZXgQgjnJLjZv9wx","SAMEA6155779","mlst-3390273-3","5241",2,5,399,1,4,1,4
"jBBWXA8udJH12wFK6SRUnY","SAMEA115925719","mlst-3390273-3","234",2,1,2,1,7,1,24
"mU9yEWqCpyz52t5ggREiez","SAMN05960966","mlst-3390273-3","17",2,1,1,1,4,4,4
"deos3gCFmYQxmsgmjQDH7U","SAMEA115925721","mlst-3390273-3","867",2,1,99,6,1,1,129
"qSJ6YXKzWVB7Hh8TNTP9tA","SAMEA115925703","mlst-3390273-3","870",2,6,1,1,147,1,31
"87PJxck965L12Gh9N8vXp6","SAMEA5753727","mlst-3390273-3","3260",10,1,20,1,342,4,264
"3dikTEvbuQAXQaWLF6wGmM","SAMEA5753354","mlst-3390273-3","2108",2,1,1,3,12,1,5
"85vFfmMxAWjqo18pNuvhoz","SAMEA4785013","mlst-3390273-3","395",3,1,2,4,1,1,4
"ptHiVHjPXfRZKwpSphHw3n","SAMEA115925723","mlst-3390273-3","6",2,10,1,1,14,3,20
"8LLpFVCdS1PrSrLbyHVaST","SAMN41988735","mlst-3390273-3","86",9,4,2,1,1,1,27
"43FEb4GXdhp3cEAaSbWjBv","SAMEA7472411","mlst-3390273-3","592",2,3,6,1,9,4,13
"uUpNEneKmgYQtETf9ghiUv","SAMEA7472462","mlst-3390273-3","39",2,1,2,4,9,1,14
"c9h9kcdQiPzKhFFe3UtP9v","SAMEA6155838","mlst-3390273-3","5243",2,1,1,347,9,1,12
"u1e4xLvcNu2xvy625KyC2N","SAMEA5753753","mlst-3390273-3","3275",2,1,1,2,10,1,4
"aKHZjRjNNmn3HymxZeqUxb","SAMEA5753792","mlst-3390273-3","152",2,3,2,1,1,4,56
"cLPoF1A7AnHCaibQsPz2zV","SAMEA5753738","mlst-3390273-3","277",3,1,1,1,1,1,43
"jKvEssiC3yAVNGhJtayyUD","SAMEA6654220","mlst-3390273-3","17",2,1,1,1,4,4,4
"v14mp2i8gwWnMRM21sjxpA","SAMEA6155854","mlst-3390273-3","17",2,1,1,1,4,4,4
"m2GtyCCQgQRVk91EqqtwyE","SAMEA4785007","mlst-3390273-3","340",3,3,1,1,1,1,18
"hoocsxPfXfnsg2XLutMNAK","SAMEA7472365","mlst-3390273-3","4410",2,6,1,3,26,1,36
"9z1oeZUBBJAF8C3UyBvx4E","SAMEA12311723","mlst-3390273-3","152",2,3,2,1,1,4,56
"mjYYGyn7pj1GTEgBMVbm57","SAMEA6155872","mlst-3390273-3","15",1,1,1,1,1,1,1
"eb7Qrn3aAFtT9DavapU5Hy","SAMEA5753317","mlst-3390273-3","502",2,53,3,1,10,4,18
"2mJG6aY8YTfLy2ghLcMvcU","SAMEA7472355","mlst-3390273-3","45",2,1,1,6,7,1,12
"udYSjTG1qwdx9E8AefFSHg","SAMEA5753356","mlst-3390273-3","3282",2,9,2,1,351,1,16
"gnwExAtn8aB3Sh7bHjWrkW","SAMEA6422780","mlst-3390273-3","1119",2,79,1,1,7,4,4
"pkNR3coqAs41UDm1TjHtVx","SAMEA6155869","mlst-3390273-3","342",2,1,1,1,1,1,100
"wGwgZmQ8x9oZcrAjjxfoDy","SAMEA6654224","mlst-3390273-3","17",2,1,1,1,4,4,4
"pcrXU5kynsB1PCESpWGNH4","SAMN31892426","mlst-3390273-3","25",2,1,1,1,10,4,13
"bjsEga6MiZDiitdb3bdRiH","SAMN05960938","mlst-3390273-3","429",2,1,2,1,9,1,116
"phs67xfBWNQemLZ4RhzKqc","SAMEA6155814","mlst-3390273-3","25",2,1,1,1,10,4,13
"wLmNuoXQx7aJEsUNtVkqeQ","SAMEA6422736","mlst-3390273-3","70",2,6,17,1,20,10,25
"3DKNa7b6peEvLjs1NJ8Yg9","SAMN05960963","mlst-3390273-3","45",2,1,1,6,7,1,12
"9FMy9xUJMnFcAwdgXVsANU","SAMN05960962","mlst-3390273-3","3688",10,1,10,1,4,8,43
"ckAG3EVebxB4xi7aNYvhEA","SAMEA6155859","mlst-3390273-3","3071",4,3,1,1,9,4,14
"83GFGNxEQ55fVsFYZGs5gK","SAMEA6155862","mlst-3390273-3","185",2,30,2,1,10,4,12
"tfFNVKNbmL8cWoRQhNWp59","SAMEA6422735","mlst-3390273-3","5240",2,3,1,1,4,1,18
"vJYckjzrYprKU3MEzNj7Fp","SAMEA111503612","mlst-3390273-3","48",2,5,2,2,7,1,10
"oahhcaMCteeYDPc2GHaFxi","SAMEA5753782","mlst-3390273-3","1015",10,1,11,1,4,8,43
"gHwCs7jfA2m26zJTwoQDE1","SAMN05960902","mlst-3390273-3","3612",10,1,11,1,10,1,112
"6GDQioRLuUjGgXBvzJ15SN","SAMEA6155875","mlst-3390273-3","307",4,1,2,52,1,1,7
"wSEshuFUNDgMEGBiHnLH9y","SAMEA5753801","mlst-3390273-3","36",2,1,2,1,7,1,7
"5eG887v1RUpSkjdGw8sGgS","SAMN36884883","mlst-3390273-3","152",2,3,2,1,1,4,56
"97yZNNPPKmYM3JYMqwuMJk","SAMEA115925704","mlst-3390273-3","307",4,1,2,52,1,1,7
"6MHXM1WJLUdmMekDndtf9o","SAMEA115925715","mlst-3390273-3","234",2,1,2,1,7,1,24
"fvPMyr5PwYZ9hLw15vxCDJ","SAMEA111504604","mlst-3390273-3","35",2,1,2,1,10,1,19
"jKtntykrHw7dbtizkJY58n","SAMEA6155883","mlst-3390273-3","5241",2,5,399,1,4,1,4
"2zPTZkh76qfbRoz5iw4sY1","SAMEA111505128","mlst-3390273-3","252",2,5,1,1,9,1,6
"mxGK98nBQ8MpsZjV37SZ9z","SAMEA115925705","mlst-3390273-3","1243",76,1,2,1,7,4,224
"94Pknj5Nyf3QQBDqPjr6it","SAMEA5753789","mlst-3390273-3","3295",4,1,11,1,21,1,446
"qXXvn6JkA1n3XnLWZL5pXq","SAMEA6654219","mlst-3390273-3","25",2,1,1,1,10,4,13
"8Xgc52vtKZVkfHJUruR9Y2","SAMEA111504615","mlst-3390273-3","25",2,1,1,1,10,4,13
"8ZSgD6stSFnVwrq7ktKyXW","SAMEA6422777","mlst-3390273-3","967",2,1,19,4,9,4,34
"r4AoMQg5rneJcvC4fvfkPH","SAMN45807625","mlst-3390273-3","39",2,1,2,4,9,1,14
"kgF7ju1JDHCHz9o4VMNQ91","SAMN05960882","mlst-3390273-3","25",2,1,1,1,10,4,13
"2zmwVkNyF5VkwamG5Jafkv","SAMEA5753707","mlst-3390273-3","3113",31,1,1,1,3,1,64
"7p9Cky8RYKxpUFo3fVUd3B","SAMEA4785009","mlst-3390273-3","395",3,1,2,4,1,1,4
"p6tXQwFHWQ5v1iYXYbG3Nk","SAMEA7472390","mlst-3390273-3","1035",4,1,1,26,1,1,4
"94KiySvHMunwJLkimJxpF9","SAMEA6155798","mlst-3390273-3","4",3,1,1,1,3,3,1
"sxBhCqe6JfCuhqcVxJ64TP","SAMN05960937","mlst-3390273-3","429",2,1,2,1,9,1,116
"tnaMM8Jew5zJav2r6TgpGL","SAMN36884886","mlst-3390273-3","280",2,1,2,1,10,4,46
"jmUDKLwZX2hKEkNjdsmyB4","SAMEA6155909","mlst-3390273-3","242",4,1,1,1,7,1,38
"eHV5akLFSxPCw6DHExHqfW","SAMEA7472489","mlst-3390273-3","464",2,5,2,1,26,1,2
"7LgrgfhCCcAtm1zUX8QJRr","SAMEA6422746","mlst-3390273-3","147",3,4,6,1,7,4,38
"8jXG7iH86drY6gQMgCinc4","SAMEA6155928","mlst-3390273-3","15",1,1,1,1,1,1,1
"9LVQVQ8TSA1bP3abTZgCxt","SAMEA6155891","mlst-3390273-3","5244",281,1,1,1,1,1,1
"4ohEiVid7BMPdopx1TBd9q","SAMEA5753793","mlst-3390273-3","3337",2,1,1,4,89,27,4
"35HdoqhevFZ7ogKPvWK6MG","SAMEA6654244","mlst-3390273-3","17",2,1,1,1,4,4,4
"nfWUVQ7io1bTNgXQArzTgB","SAMEA6422783","mlst-3390273-3","101",2,6,1,5,4,1,6
"r8kPKmfLUtjTQHXvob6CDa","SAMEA8515138","mlst-3390273-3","20",2,3,1,1,4,4,4
"x18NQidq7sicRzihob2BFF","SAMN05960899","mlst-3390273-3","25",2,1,1,1,10,4,13
"ahpcz4JJbo98b5GoYf9pUj","SAMEA6155793","mlst-3390273-3","5246",4,1,2,1,26,1,112
"ey8XCQmUMpjkqHe1wfrKMu","SAMN36884887","mlst-3390273-3","147",3,4,6,1,7,4,38
"pGFpThALdSx9WadLPUCP27","SAMEA5753779","mlst-3390273-3","1419",2,1,2,1,10,1,112
"gHRiH5GELXDMrX85tVKZ28","SAMEA111504602","mlst-3390273-3","14",1,6,1,1,1,1,1
"pBqSWqxGYCeRocDsfgh6iq","SAMEA5753796","mlst-3390273-3","3339",2,3,15,2,18,4,4
"qCbmDssgHLcBae438R5Dyc","SAMEA4785016","mlst-3390273-3","395",3,1,2,4,1,1,4
"iFAMgQEQ9r63a5vi8Ebd8V","SAMN05960916","mlst-3390273-3","48",2,5,2,2,7,1,10
"jTiRmR53by543rfq4UbbmC","SAMEA6654210","mlst-3390273-3","25",2,1,1,1,10,4,13
"mXmvUBJsJ3NCEFC9wtxG9K","SAMEA111505137","mlst-3390273-3","45",2,1,1,6,7,1,12
"btUoFbd8aqxcD1n6YhpvHc","SAMEA5753781","mlst-3390273-3","3286",2,3,2,1,12,1,112
"okt9qZNhhLcsFeCFnXKnuK","SAMN05960929","mlst-3390273-3","48",2,5,2,2,7,1,10
"hbHdbHfoXrwNJcLBhzHvVm","SAMN05960924","mlst-3390273-3","73",2,3,4,1,12,6,19
"kBALZdVn7VujpzkzPa26An","SAMEA7472437","mlst-3390273-3","39",2,1,2,4,9,1,14
"tTyCjY4Csbq3fyU8svwuo4","SAMEA111504600","mlst-3390273-3","17",2,1,1,1,4,4,4
"hxXhLzorgrHxR6NnkSrdqN","SAMEA6155892","mlst-3390273-3","340",3,3,1,1,1,1,18
"eATSxGb5iiL8KhfjiQiVPf","SAMEA5753489","mlst-3390273-3","2800",2,1,2,1,9,1,18
"axVxmWyZzm8aS1bKjVkAnL","SAMEA6155808","mlst-3390273-3","716",71,1,1,2,16,4,164
"abi1Cozq38MftZu9GoWRo8","SAMEA115925714","mlst-3390273-3","17",2,1,1,1,4,4,4
"34caPkcrqQNC2rujeV82s2","SAMEA7472490","mlst-3390273-3","39",2,1,2,4,9,1,14
