genome_id,genome_name,country,qc_status,species_prediction,contig_count,genome_length,n50,st,resistance_score,resistance_gene_count,bla_acquired,bla_esbl_acquired,bla_carb_acquired,virulence_score,k_type,o_type,plasmid_replicons
aWGoHCv91FJnnizvSsmbKE,SAMN05960958,Nigeria,Passed,Klebsiella pneumoniae,32,5198329,410840,ST45,0,,-,-,-,1,K43,O2α,
jpRJy2sHoCEddK5MzjPAm8,SAMEA111504612,Ghana,Passed,Klebsiella pneumoniae,79,5427564,248565,ST1119,1,,-,CTX-M-15,-,0,unknown (KL110),O3γ,IncFIB(K)(pCAV1099-114);IncR;repFIB
jTcoqu2MdhH2h4g6svP51p,SAMN41988737,Ghana,Passed,Klebsiella pneumoniae,72,5670518,303016,ST36,1,,-,CTX-M-15,-,1,K62,O2α,IncFIA(HI1);IncFIB(K);IncFII(K);repB(R1701)
kUP4v3dKJP9skf3bHvwXUu,SAMN05960904,Nigeria,Passed,Klebsiella pneumoniae,68,5162181,199781,ST3613,0,,-,-,-,0,unknown (KL166),"O11αβ,2γ",Col(MGD2);Col440I;IncFIA(HI1)
kqYjA4z1VWxyg1LQ1akVnQ,SAMEA6155866,Nigeria,Passed,Klebsiella pneumoniae,48,5522518,409740,ST101,1,,OXA-1,CTX-M-15,-,1,K17,"O1αβ,2α",Col(pHAD28);Col440II;IncFIB(K);IncFII(pKP91)
uc7XTeozGMpUiurZSWSuWM,SAMN05960925,Nigeria,Passed,Klebsiella pneumoniae,69,5586859,281584,ST307,1,,OXA-1,CTX-M-15,-,0,unknown (KL102),O2β,IncFIB(K);IncFII(K)
xhNWCcrWXPqL9Ru7rU3mrt,SAMN05960895,Nigeria,Passed,Klebsiella pneumoniae,58,5488037,279596,ST15,1,,OXA-1,CTX-M-15,-,1,unknown (KL112),"O1αβ,2α",IncFIA(HI1);IncFIB(K);IncFII(pKP91);IncR;repB(R1701)
mbBUQEkWPfbuxaRBM3VeNf,SAMEA6155829,Nigeria,Passed,Klebsiella pneumoniae,89,5761291,321397,ST25,1,,LAP-2;OXA-1,CTX-M-15,-,1,K2,"O1αβ,2β",Col(pHAD28);IncFIB(K)(pCAV1099-114);IncR
pvabPX7NiEvSwjZkUUaUuv,SAMN36884878,Ghana,Passed,Klebsiella pneumoniae,87,5744966,319268,ST39,1,,-,CTX-M-15,-,1,K23,"O1αβ,2β",Col(pHAD28);Col440I;IncFIA(HI1);IncFIB(K);IncFII;IncFII(K);IncR
dyToryGFYPUg65sMmJ5YhD,SAMN05960881,Nigeria,Passed,Klebsiella pneumoniae,91,5594041,279938,ST1263,1,,-,SHV-12,-,0,K10,O3αβ,Col(pHAD28);IncFIA(HI1);IncFIB(K);IncN;IncY
wTdMVFMhJBMNS9NczV2jFY,SAMEA7472442,Nigeria,Passed,Klebsiella pneumoniae,110,5717304,334557,ST39,1,,OXA-1,CTX-M-15,-,1,K2,"O1αβ,2α",Col(pHAD28);IncFIB(K);IncFII(pBK30683);IncR
8Zy84MWZMiScmkJwsiFnyQ,SAMEA111505123,Nigeria,Passed,Klebsiella pneumoniae,184,5292800,94724,ST3157,0,,-,-,-,0,K30,"O1αβ,2β",Col440I;IncFIB(K);IncFIB(pQil);IncFII(K);IncR
rvGui5euCpQhNxbsBaxRQK,SAMEA6155778,Nigeria,Passed,Klebsiella pneumoniae,19,5123507,734485,ST5241,0,,-,-,-,0,unknown (KL123),O5,Col440I;IncFIA(HI1);IncR
koB4JkyTa9iuBJaS6ynr2d,SAMN46427849,Nigeria,Passed,Klebsiella pneumoniae,59,5434412,422635,ST464,1,,OXA-1,CTX-M-15,-,0,K53,"O1αβ,2α",Col(pHAD28);IncFIB(K)(pCAV1099-114);IncHI1B(pNDM-MAR)
j62D2jwXVD9t2v2ZiXNj24,SAMEA6155834,Nigeria,Passed,Klebsiella pneumoniae,17,5123462,734247,ST5241,0,,-,-,-,0,unknown (KL123),O5,Col440I;IncFIA(HI1);IncR
r22EXMLiW4Z32nTtPaYYRY,SAMEA6158235,Nigeria,Passed,Klebsiella pneumoniae,124,5130106,99473,ST340,1,,-,CTX-M-15,-,0,K15,O4,IncFIA(HI1);IncR;repB(R1701)
wnY8BLJvKiKJj8EKgNEMqp,SAMEA111505139,Nigeria,Passed,Klebsiella pneumoniae,146,5813282,150751,ST392,2,,OXA-1,CTX-M-15,NDM-1,0,K27,O4,Col(pHAD28);Col440I;IncFIB(K);IncFIB(pNDM-Mar);IncFII(K);IncHI1B(pNDM-MAR)
hv4tdSDtdCJiL7h8Erv8Qw,SAMEA7472507,Nigeria,Passed,Klebsiella pneumoniae,106,5370520,236727,ST442,2,,-,CTX-M-15,NDM-1,0,Capsule null,O2α,Col(pHAD28);IncFIA(HI1);IncFIB(K)(pCAV1099-114);IncFII(K);IncHI1B(pNDM-MAR)
bJZWZD2FSBUWqM6DtiggqM,SAMEA7472468,Nigeria,Passed,Klebsiella pneumoniae,83,5582501,220998,ST464,2,,-,CTX-M-15,NDM-7,1,K53,"O1αβ,2α",Col440I;ColpVC;IncFIB(pQil);IncFII(K);IncX3
xyGww7Z1sR6wErTvaU1AXk,SAMN05960898,Nigeria,Passed,Klebsiella pneumoniae,67,5511802,279860,ST4,1,,-,CTX-M-15,-,0,K13,"O1αβ,2α",IncFIB(K);IncFII(K);IncR
4mRJucNety59xcCC1tY51j,SAMEA6422764,Nigeria,Passed,Klebsiella pneumoniae,80,5540310,203867,ST73,1,,OXA-1,CTX-M-15,-,1,K25,"O1αβ,2α",Col(IMGS31);Col(pHAD28);IncFIB(K);IncFII(K)
emScuqyhFJCc1HeEFEmvuE,SAMEA6155893,Nigeria,Passed,Klebsiella pneumoniae,47,5424476,439597,ST17,0,,-,-,-,0,K62,O2β,Col(pHAD28);Col440I;IncFIB(K);IncFII(pKP91);IncR
pW1Kpbr4jEfJfJpkB7udD1,SAMEA6155826,Nigeria,Passed,Klebsiella pneumoniae,51,5579911,430036,ST307,1,,-,CTX-M-15,-,0,unknown (KL102),O2β,IncFIA(HI1);IncFIB(K);IncFII(K);IncR
r8hvFxtWhiAbUyg1kwXsir,SAMEA7472515,Nigeria,Passed,Klebsiella pneumoniae,67,5199275,261398,ST530,1,,-,CTX-M-15,-,1,K62,"O1αβ,2β",IncFIB(K)
kdUfqfNFMSrgBoucX5xvfP,SAMEA7472372,Nigeria,Passed,Klebsiella pneumoniae,50,5652357,280609,ST45,1,,-,CTX-M-15,-,1,K52,O13,Col440I;IncFIB(K);IncFII(K);IncQ1
8UQhM26DjirjJRY7tk4fiJ,SAMEA7472405,Nigeria,Passed,Klebsiella pneumoniae,84,5472680,337412,ST133,1,,-,CTX-M-15,-,0,unknown (KL116),"O1αβ,2α",IncFIA(HI1);IncFIB(K)(pCAV1099-114);IncHI1B(pNDM-MAR);IncR;repFIB
j9ZShn3RZeenuS7oiH6gYa,SAMEA6155855,Nigeria,Passed,Klebsiella pneumoniae,45,5427520,369069,ST17,0,,-,-,-,0,K62,O2β,Col(pHAD28);Col440I;IncFIB(K);IncFII(pKP91);IncR
viX7qNyijfnBPd9ruFm8we,SAMEA7472517,Nigeria,Passed,Klebsiella pneumoniae,43,5397496,315681,ST76,0,,-,-,-,1,K10,O3αβ,IncX3
mhumFeLBiEKJ31MhCzA8vb,SAMN36884891,Ghana,Passed,Klebsiella pneumoniae,80,5441187,215128,ST4332,1,,-,CTX-M-15,-,0,unknown (KL171),O3γ,Col440I;IncFIB(K);IncFII(K);IncY
nxs8abV3G6H4G7mikPrnuF,SAMEA6422761,Nigeria,Passed,Klebsiella pneumoniae,42,5372566,363912,ST219,1,,-,CTX-M-15,-,0,unknown (KL114),"O1αβ,2α",Col440I;IncFIB(K)(pCAV1099-114);RepB
bS81DVrppm6u5fWTkYFQ7B,SAMEA6422785,Nigeria,Passed,Klebsiella pneumoniae,83,5654869,249812,ST147,1,,-,CTX-M-15,-,0,K10,O3αβ,Col(pHAD28);IncFIB(K);IncFII(K);IncR
5CNpBnF5H4n9eHHomRLzQT,SAMEA6155865,Nigeria,Passed,Klebsiella pneumoniae,43,5491216,370914,ST101,1,,OXA-1,CTX-M-15,-,1,K17,"O1αβ,2α",Col(pHAD28);Col440II;IncFIB(K);IncFII(pKP91)
utzjj6oLjCnX7gZM8dEmkc,SAMEA111505126,Nigeria,Passed,Klebsiella pneumoniae,157,5652758,100963,ST15,1,,OXA-1,CTX-M-15,-,1,K24,"O1αβ,2α",Col(pHAD28);Col440I;ColpVC;IncFIB(K)(pCAV1099-114);IncHI1B(pNDM-MAR);IncR;repFIB
aFmgnCiB28KNQAe6qxxKur,SAMEA7472371,Nigeria,Passed,Klebsiella pneumoniae,79,5196967,149533,ST76,0,,-,-,-,0,K31,O3αβ,Col(pHAD28);IncFIA(pBK30683);IncFII(pMET);repB(R1701)
cocDC5PVaDCsHxNGfWc5k3,SAMEA6422756,Nigeria,Passed,Klebsiella pneumoniae,23,5051112,470022,ST5248,0,,-,-,-,0,K31,O3γ,Col(pHAD28)
8kVbukWkaFEqdXzhiXoBpf,SAMEA6155853,Nigeria,Passed,Klebsiella pneumoniae,43,5519436,391929,ST342,1,,TEM-103*,CTX-M-15,-,1,K30,"O1αβ,2β",IncFIB(K);IncFII(K)
kaiogLxCJLSa245NCTkt9g,SAMN05960956,Nigeria,Passed,Klebsiella pneumoniae,61,5464941,367135,ST716,1,,OXA-1,CTX-M-15,-,1,unknown (KL110),O2α,Col(pHAD28);Col440I;Col440II;IncFIB(K);IncFII(K)
oGSv5BjAnBd2ofvw7ZBZEz,SAMEA6654232,Ghana,Passed,Klebsiella pneumoniae,100,5750957,387770,ST17,2,,-,CTX-M-15,OXA-181,1,K25,O5,ColKP3;IncFIB(K);IncFIB(pNDM-Mar);IncFII(pKP91);IncQ1;IncX3
cdbaGrHDemPtw1BgydfcvJ,SAMN36884876,Ghana,Passed,Klebsiella pneumoniae,103,5613901,239299,ST14,1,,OXA-1^,CTX-M-15,-,0,K2,"O1αβ,2α",IncFIA(HI1);IncFIB(K);IncFII(K)
6Yx8hEXhsdHNMdjcnHpdXj,SAMEA6155833,Nigeria,Passed,Klebsiella pneumoniae,68,5546421,341358,ST111,1,,SCO-1,CTX-M-15,-,0,K63,"O1αβ,2β",Col(pHAD28);Col440I;IncFIA(HI1);IncFIB(K)(pCAV1099-114);IncR
hAbwaa2M11aDucG5dNcx6N,SAMEA6155807,Nigeria,Passed,Klebsiella pneumoniae,60,5554592,479738,ST22,1,,-,CTX-M-15,-,0,K9,O2β,Col(pHAD28);IncFIB(K);IncFIB(pKPHS1);IncFII(pKP91);IncR;IncY
dgL11DroRQLtr1f55o8bTr,SAMN05960906,Nigeria,Passed,Klebsiella pneumoniae,75,5662239,258695,ST147,1,,SCO-1,CTX-M-15,-,0,K10,O3αβ,Col(pHAD28);IncFIB(K);IncFII(K)
kVaSn9PWDtVoXozYzBTQFk,SAMEA111504609,Ghana,Passed,Klebsiella pneumoniae,85,5693111,230038,ST147,2,,OXA-9.v1;OXA-1,CTX-M-15,NDM-1,1,K64,O2α,Col(pHAD28);IncFIB(K)(pCAV1099-114);IncFIB(pKPHS1);IncFIB(pQil);IncR;RepB;repFIB
rSffqw8uKXHjTgvArFBgq7,SAMEA6155858,Nigeria,Passed,Klebsiella pneumoniae,61,5532930,388799,ST392,1,,OXA-1,CTX-M-15,-,0,K27,O4,Col(pHAD28);IncFIB(K);IncFII(K)
miwMhf78aTEavL2snrWv8o,SAMEA6155789,Nigeria,Passed,Klebsiella pneumoniae,46,5425973,352306,ST17,0,,-,-,-,0,K62,O2β,Col(pHAD28);Col440I;IncFIB(K);IncFII(pKP91);IncR
bV4RhJMeAGN5HN3w7U73N2,SAMEA8515127,Nigeria,Passed,Klebsiella pneumoniae,140,5496235,145545,ST244,2,,OXA-1,CTX-M-15,NDM-1,1,unknown (KL155),O13,IncFIA(pBK30683);IncFIB(K)
vtgvqBT53v8fF46ctdA8wB,SAMEA6155877,Nigeria,Passed,Klebsiella pneumoniae,22,5121762,478691,ST5241,0,,-,-,-,0,unknown (KL123),O5,Col440I;IncFIA(HI1);IncR
umyMDwpZFUJdhx8vnF28oZ,SAMEA6155773,Nigeria,Passed,Klebsiella pneumoniae,43,5412690,653144,ST5243,0,,-,-,-,0,K12,"O1αβ,2α",IncFIB(K);IncFII(pKP91);IncR
aipP1e8eQesusYkxTMLP3u,SAMEA6155929,Nigeria,Passed,Klebsiella pneumoniae,54,5574568,406006,ST219,2,,-,CTX-M-15,OXA-48,0,unknown (KL114),"O1αβ,2α",Col440I;IncFIB(K)(pCAV1099-114);IncFII(pKP91);IncL;IncR;RepB
cLnu3gj3nHHhWDddjKVqpA,SAMEA6155847,Nigeria,Passed,Klebsiella pneumoniae,59,5536106,383721,ST392,1,,OXA-1,CTX-M-15,-,0,K27,O4,Col(pHAD28);IncFIB(K);IncFII(K)
92wiTibEdTeNBpqY17uE8E,SAMEA6422771,Nigeria,Passed,Klebsiella pneumoniae,50,5382200,314068,ST5239,0,,-,-,-,0,unknown (KL162),unknown (OL14),Col(pHAD28);IncFIB(K)
dAkZRDf8BnMSmHg38GM8rm,SAMN05960921,Nigeria,Passed,Klebsiella pneumoniae,53,5794654,410759,ST1788,2,,OXA-1,CTX-M-15,OXA-48,1,K2,"O1αβ,2β",IncFIB(K);IncFIB(pKPHS1);IncFII(K);IncL
eH94miV6WHVNfQjumX6o7R,SAMEA6155843,Nigeria,Passed,Klebsiella pneumoniae,21,5122039,479836,ST5241,0,,-,-,-,0,unknown (KL123),O5,Col440I;IncFIA(HI1);IncR
